JMID FILE
Format: 1  ntracks: 10  Division: 240
TRACK 1
      0 META       FF 01 6 43 68 75 72 63 68
      0 PROGRM   C0  19
      0 NOTE-ON  90  64  89
     45 NOTE-OFF 80  64  64
      0 NOTE-OFF 80  52  64
     15 NOTE-ON  90  53  89
      0 NOTE-ON  90  65  89
     45 NOTE-OFF 80  65  64
      0 NOTE-OFF 80  53  64
     15 NOTE-ON  90  67  89
      0 NOTE-ON  90  55  89
     45 NOTE-OFF 80  55  64
      0 NOTE-OFF 80  67  64
     15 NOTE-ON  90  64  89
      0 NOTE-ON  90  52  89
     45 NOTE-OFF 80  52  64
      0 NOTE-OFF 80  64  64
     15 NOTE-ON  90  65  89
      0 NOTE-ON  90  53  89
     45 NOTE-OFF 80  53  64
      0 NOTE-OFF 80  65  64
     15 NOTE-ON  90  67  89
      0 NOTE-ON  90  55  89
     45 NOTE-OFF 80  55  64
      0 NOTE-OFF 80  67  64
     15 NOTE-ON  90  64  89
      0 NOTE-ON  90  52  89
     45 NOTE-OFF 80  52  64
      0 NOTE-OFF 80  64  64
     15 NOTE-ON  90  65  89
      0 NOTE-ON  90  53  89
     75 NOTE-OFF 80  53  64
      0 NOTE-OFF 80  65  64
     15 NOTE-ON  90  67  89
      0 NOTE-ON  90  55  89
     75 NOTE-OFF 80  55  64
      0 NOTE-OFF 80  67  64
     15 NOTE-ON  90  57  89
      0 NOTE-ON  90  69  89
     45 NOTE-OFF 80  69  64
      0 NOTE-OFF 80  57  64
     15 NOTE-ON  90  58  89
      0 NOTE-ON  90  70  89
     45 NOTE-OFF 80  70  64
      0 NOTE-OFF 80  58  64
     15 NOTE-ON  90  55  89
      0 NOTE-ON  90  67  89
     45 NOTE-OFF 80  67  64
      0 NOTE-OFF 80  55  64
     15 NOTE-ON  90  57  89
      0 NOTE-ON  90  69  89
     45 NOTE-OFF 80  69  64
      0 NOTE-OFF 80  57  64
     15 NOTE-ON  90  58  89
      0 NOTE-ON  90  70  89
     45 NOTE-OFF 80  70  64
      0 NOTE-OFF 80  58  64
     15 NOTE-ON  90  55  89
      0 NOTE-ON  90  67  89
     45 NOTE-OFF 80  67  64
      0 NOTE-OFF 80  55  64
     15 NOTE-ON  90  57  89
      0 NOTE-ON  90  69  89
     45 NOTE-OFF 80  69  64
      0 NOTE-OFF 80  57  64
     15 NOTE-ON  90  58  89
      0 NOTE-ON  90  70  89
     45 NOTE-OFF 80  70  64
      0 NOTE-OFF 80  58  64
     15 NOTE-ON  90  55  89
      0 NOTE-ON  90  67  89
     45 NOTE-OFF 80  67  64
      0 NOTE-OFF 80  55  64
     15 NOTE-ON  90  69  89
      0 NOTE-ON  90  57  89
    165 NOTE-OFF 80  57  64
      0 NOTE-OFF 80  69  64
   1635 NOTE-ON  90  61  89
      0 NOTE-ON  90  73  89
     45 NOTE-OFF 80  73  64
      0 NOTE-OFF 80  61  64
     15 NOTE-ON  90  74  89
      0 NOTE-ON  90  62  89
     45 NOTE-OFF 80  62  64
      0 NOTE-OFF 80  74  64
     15 NOTE-ON  90  64  89
      0 NOTE-ON  90  76  89
     45 NOTE-OFF 80  76  64
      0 NOTE-OFF 80  64  64
     15 NOTE-ON  90  61  89
      0 NOTE-ON  90  73  89
     45 NOTE-OFF 80  73  64
      0 NOTE-OFF 80  61  64
     15 NOTE-ON  90  62  89
      0 NOTE-ON  90  74  89
     45 NOTE-OFF 80  74  64
      0 NOTE-OFF 80  62  64
     15 NOTE-ON  90  64  89
      0 NOTE-ON  90  76  89
     45 NOTE-OFF 80  76  64
      0 NOTE-OFF 80  64  64
     15 NOTE-ON  90  61  89
      0 NOTE-ON  90  73  89
     45 NOTE-OFF 80  73  64
      0 NOTE-OFF 80  61  64
     15 NOTE-ON  90  62  89
      0 NOTE-ON  90  74  89
     45 NOTE-OFF 80  74  64
      0 NOTE-OFF 80  62  64
     15 NOTE-ON  90  64  89
      0 NOTE-ON  90  76  89
     45 NOTE-OFF 80  76  64
      0 NOTE-OFF 80  64  64
     15 NOTE-ON  90  61  89
      0 NOTE-ON  90  73  89
     45 NOTE-OFF 80  73  64
      0 NOTE-OFF 80  61  64
     15 NOTE-ON  90  62  89
      0 NOTE-ON  90  74  89
     75 NOTE-OFF 80  74  64
      0 NOTE-OFF 80  62  64
     15 NOTE-ON  90  64  89
      0 NOTE-ON  90  76  89
     75 NOTE-OFF 80  76  64
      0 NOTE-OFF 80  64  64
     15 NOTE-ON  90  65  89
      0 NOTE-ON  90  77  89
     45 NOTE-OFF 80  77  64
      0 NOTE-OFF 80  65  64
     15 NOTE-ON  90  67  89
      0 NOTE-ON  90  79  89
     45 NOTE-OFF 80  79  64
      0 NOTE-OFF 80  67  64
     15 NOTE-ON  90  64  89
      0 NOTE-ON  90  76  89
     45 NOTE-OFF 80  76  64
      0 NOTE-OFF 80  64  64
     15 NOTE-ON  90  65  89
      0 NOTE-ON  90  77  89
     45 NOTE-OFF 80  77  64
      0 NOTE-OFF 80  65  64
     15 NOTE-ON  90  67  89
      0 NOTE-ON  90  79  89
     45 NOTE-OFF 80  79  64
      0 NOTE-OFF 80  67  64
     15 NOTE-ON  90  64  89
      0 NOTE-ON  90  76  89
     45 NOTE-OFF 80  76  64
      0 NOTE-OFF 80  64  64
     15 NOTE-ON  90  65  89
      0 NOTE-ON  90  77  89
     45 NOTE-OFF 80  77  64
      0 NOTE-OFF 80  65  64
     15 NOTE-ON  90  67  89
      0 NOTE-ON  90  79  89
     45 NOTE-OFF 80  79  64
      0 NOTE-OFF 80  67  64
     15 NOTE-ON  90  64  89
      0 NOTE-ON  90  76  89
     45 NOTE-OFF 80  76  64
      0 NOTE-OFF 80  64  64
     15 NOTE-ON  90  65  89
      0 NOTE-ON  90  77  89
     75 NOTE-OFF 80  77  64
      0 NOTE-OFF 80  65  64
     15 NOTE-ON  90  67  89
      0 NOTE-ON  90  79  89
     75 NOTE-OFF 80  79  64
      0 NOTE-OFF 80  67  64
     15 NOTE-ON  90  69  89
      0 NOTE-ON  90  81  89
     45 NOTE-OFF 80  81  64
      0 NOTE-OFF 80  69  64
     15 NOTE-ON  90  70  89
      0 NOTE-ON  90  82  89
     45 NOTE-OFF 80  82  64
      0 NOTE-OFF 80  70  64
     15 NOTE-ON  90  67  89
      0 NOTE-ON  90  79  89
     45 NOTE-OFF 80  79  64
      0 NOTE-OFF 80  67  64
     15 NOTE-ON  90  69  89
      0 NOTE-ON  90  81  89
     45 NOTE-OFF 80  81  64
      0 NOTE-OFF 80  69  64
     15 NOTE-ON  90  70  89
      0 NOTE-ON  90  82  89
     45 NOTE-OFF 80  82  64
      0 NOTE-OFF 80  70  64
     15 NOTE-ON  90  67  89
      0 NOTE-ON  90  79  89
     45 NOTE-OFF 80  79  64
      0 NOTE-OFF 80  67  64
     15 NOTE-ON  90  69  89
      0 NOTE-ON  90  81  89
     45 NOTE-OFF 80  81  64
      0 NOTE-OFF 80  69  64
     15 NOTE-ON  90  70  89
      0 NOTE-ON  90  82  89
     45 NOTE-OFF 80  82  64
      0 NOTE-OFF 80  70  64
     15 NOTE-ON  90  67  89
      0 NOTE-ON  90  79  89
     45 NOTE-OFF 80  79  64
      0 NOTE-OFF 80  67  64
     15 NOTE-ON  90  69  89
      0 NOTE-ON  90  81  89
    165 NOTE-OFF 80  81  64
      0 NOTE-OFF 80  69  64
   1155 NOTE-ON  90  69  89
      0 NOTE-ON  90  81  89
     45 NOTE-OFF 80  81  64
      0 NOTE-OFF 80  69  64
     15 NOTE-ON  90  67  89
      0 NOTE-ON  90  79  89
     45 NOTE-OFF 80  79  64
      0 NOTE-OFF 80  67  64
     15 NOTE-ON  90  70  89
      0 NOTE-ON  90  82  89
     45 NOTE-OFF 80  82  64
      0 NOTE-OFF 80  70  64
     15 NOTE-ON  90  64  89
      0 NOTE-ON  90  76  89
     45 NOTE-OFF 80  76  64
      0 NOTE-OFF 80  64  64
     15 NOTE-ON  90  67  89
      0 NOTE-ON  90  79  89
     45 NOTE-OFF 80  79  64
      0 NOTE-OFF 80  67  64
     15 NOTE-ON  90  70  89
      0 NOTE-ON  90  82  89
     45 NOTE-OFF 80  82  64
      0 NOTE-OFF 80  70  64
     15 NOTE-ON  90  64  89
      0 NOTE-ON  90  76  89
     45 NOTE-OFF 80  76  64
      0 NOTE-OFF 80  64  64
     15 NOTE-ON  90  65  89
      0 NOTE-ON  90  77  89
     45 NOTE-OFF 80  77  64
      0 NOTE-OFF 80  65  64
     15 NOTE-ON  90  69  89
      0 NOTE-ON  90  81  89
     45 NOTE-OFF 80  81  64
      0 NOTE-OFF 80  69  64
     15 NOTE-ON  90  62  89
      0 NOTE-ON  90  74  89
     45 NOTE-OFF 80  74  64
      0 NOTE-OFF 80  62  64
     15 NOTE-ON  90  65  89
      0 NOTE-ON  90  77  89
     45 NOTE-OFF 80  77  64
      0 NOTE-OFF 80  65  64
     15 NOTE-ON  90  69  89
      0 NOTE-ON  90  81  89
     45 NOTE-OFF 80  81  64
      0 NOTE-OFF 80  69  64
     15 NOTE-ON  90  62  89
      0 NOTE-ON  90  74  89
     45 NOTE-OFF 80  74  64
      0 NOTE-OFF 80  62  64
     15 NOTE-ON  90  64  89
      0 NOTE-ON  90  76  89
     45 NOTE-OFF 80  76  64
      0 NOTE-OFF 80  64  64
     15 NOTE-ON  90  67  89
      0 NOTE-ON  90  79  89
     45 NOTE-OFF 80  79  64
      0 NOTE-OFF 80  67  64
     15 NOTE-ON  90  60  89
      0 NOTE-ON  90  72  89
     45 NOTE-OFF 80  72  64
      0 NOTE-OFF 80  60  64
     15 NOTE-ON  90  64  89
      0 NOTE-ON  90  76  89
     45 NOTE-OFF 80  76  64
      0 NOTE-OFF 80  64  64
     15 NOTE-ON  90  67  89
      0 NOTE-ON  90  79  89
     45 NOTE-OFF 80  79  64
      0 NOTE-OFF 80  67  64
     15 NOTE-ON  90  60  89
      0 NOTE-ON  90  72  89
     45 NOTE-OFF 80  72  64
      0 NOTE-OFF 80  60  64
     15 NOTE-ON  90  62  89
      0 NOTE-ON  90  74  89
     45 NOTE-OFF 80  74  64
      0 NOTE-OFF 80  62  64
     15 NOTE-ON  90  65  89
      0 NOTE-ON  90  77  89
     45 NOTE-OFF 80  77  64
      0 NOTE-OFF 80  65  64
     15 NOTE-ON  90  58  89
      0 NOTE-ON  90  70  89
     45 NOTE-OFF 80  70  64
      0 NOTE-OFF 80  58  64
     15 NOTE-ON  90  62  89
      0 NOTE-ON  90  74  89
     45 NOTE-OFF 80  74  64
      0 NOTE-OFF 80  62  64
     15 NOTE-ON  90  65  89
      0 NOTE-ON  90  77  89
     45 NOTE-OFF 80  77  64
      0 NOTE-OFF 80  65  64
     15 NOTE-ON  90  58  89
      0 NOTE-ON  90  70  89
     45 NOTE-OFF 80  70  64
      0 NOTE-OFF 80  58  64
     15 NOTE-ON  90  60  89
      0 NOTE-ON  90  72  89
     45 NOTE-OFF 80  72  64
      0 NOTE-OFF 80  60  64
     15 NOTE-ON  90  64  89
      0 NOTE-ON  90  76  89
     45 NOTE-OFF 80  76  64
      0 NOTE-OFF 80  64  64
     15 NOTE-ON  90  57  89
      0 NOTE-ON  90  69  89
     45 NOTE-OFF 80  69  64
      0 NOTE-OFF 80  57  64
     15 NOTE-ON  90  60  89
      0 NOTE-ON  90  72  89
     45 NOTE-OFF 80  72  64
      0 NOTE-OFF 80  60  64
     15 NOTE-ON  90  64  89
      0 NOTE-ON  90  76  89
     45 NOTE-OFF 80  76  64
      0 NOTE-OFF 80  64  64
     15 NOTE-ON  90  57  89
      0 NOTE-ON  90  69  89
     45 NOTE-OFF 80  69  64
      0 NOTE-OFF 80  57  64
     15 NOTE-ON  90  58  89
      0 NOTE-ON  90  70  89
     45 NOTE-OFF 80  70  64
      0 NOTE-OFF 80  58  64
     15 NOTE-ON  90  62  89
      0 NOTE-ON  90  74  89
     45 NOTE-OFF 80  74  64
      0 NOTE-OFF 80  62  64
     15 NOTE-ON  90  55  89
      0 NOTE-ON  90  67  89
     45 NOTE-OFF 80  67  64
      0 NOTE-OFF 80  55  64
     15 NOTE-ON  90  58  89
      0 NOTE-ON  90  70  89
     45 NOTE-OFF 80  70  64
      0 NOTE-OFF 80  58  64
     15 NOTE-ON  90  62  89
      0 NOTE-ON  90  74  89
     45 NOTE-OFF 80  74  64
      0 NOTE-OFF 80  62  64
     15 NOTE-ON  90  55  89
      0 NOTE-ON  90  67  89
     45 NOTE-OFF 80  67  64
      0 NOTE-OFF 80  55  64
     15 NOTE-ON  90  57  89
      0 NOTE-ON  90  69  89
     45 NOTE-OFF 80  69  64
      0 NOTE-OFF 80  57  64
     15 NOTE-ON  90  60  89
      0 NOTE-ON  90  72  89
     45 NOTE-OFF 80  72  64
      0 NOTE-OFF 80  60  64
     15 NOTE-ON  90  53  89
      0 NOTE-ON  90  65  89
     45 NOTE-OFF 80  65  64
      0 NOTE-OFF 80  53  64
     15 NOTE-ON  90  57  89
      0 NOTE-ON  90  69  89
     45 NOTE-OFF 80  69  64
      0 NOTE-OFF 80  57  64
     15 NOTE-ON  90  60  89
      0 NOTE-ON  90  72  89
     45 NOTE-OFF 80  72  64
      0 NOTE-OFF 80  60  64
     15 NOTE-ON  90  53  89
      0 NOTE-ON  90  65  89
     45 NOTE-OFF 80  65  64
      0 NOTE-OFF 80  53  64
     15 NOTE-ON  90  55  89
      0 NOTE-ON  90  67  89
     45 NOTE-OFF 80  67  64
      0 NOTE-OFF 80  55  64
     15 NOTE-ON  90  58  89
      0 NOTE-ON  90  70  89
     45 NOTE-OFF 80  70  64
      0 NOTE-OFF 80  58  64
     15 NOTE-ON  90  52  89
      0 NOTE-ON  90  64  89
     45 NOTE-OFF 80  64  64
      0 NOTE-OFF 80  52  64
     15 NOTE-ON  90  55  89
      0 NOTE-ON  90  67  89
     45 NOTE-OFF 80  67  64
      0 NOTE-OFF 80  55  64
     15 NOTE-ON  90  58  89
      0 NOTE-ON  90  70  89
     45 NOTE-OFF 80  70  64
      0 NOTE-OFF 80  58  64
     15 NOTE-ON  90  52  89
      0 NOTE-ON  90  64  89
     45 NOTE-OFF 80  64  64
      0 NOTE-OFF 80  52  64
     15 NOTE-ON  90  53  89
      0 NOTE-ON  90  65  89
     45 NOTE-OFF 80  65  64
      0 NOTE-OFF 80  53  64
     15 NOTE-ON  90  57  89
      0 NOTE-ON  90  69  89
     45 NOTE-OFF 80  69  64
      0 NOTE-OFF 80  57  64
     15 NOTE-ON  90  50  89
      0 NOTE-ON  90  62  89
     45 NOTE-OFF 80  62  64
      0 NOTE-OFF 80  50  64
     15 NOTE-ON  90  53  89
      0 NOTE-ON  90  65  89
     45 NOTE-OFF 80  65  64
      0 NOTE-OFF 80  53  64
     15 NOTE-ON  90  57  89
      0 NOTE-ON  90  69  89
     45 NOTE-OFF 80  69  64
      0 NOTE-OFF 80  57  64
     15 NOTE-ON  90  50  89
      0 NOTE-ON  90  62  89
     45 NOTE-OFF 80  62  64
      0 NOTE-OFF 80  50  64
     15 NOTE-ON  90  52  89
      0 NOTE-ON  90  64  89
     45 NOTE-OFF 80  64  64
      0 NOTE-OFF 80  52  64
     15 NOTE-ON  90  55  89
      0 NOTE-ON  90  67  89
     45 NOTE-OFF 80  67  64
      0 NOTE-OFF 80  55  64
     15 NOTE-ON  90  49  89
      0 NOTE-ON  90  61  89
     45 NOTE-OFF 80  61  64
      0 NOTE-OFF 80  49  64
     15 NOTE-ON  90  52  89
      0 NOTE-ON  90  64  89
     45 NOTE-OFF 80  64  64
      0 NOTE-OFF 80  52  64
     15 NOTE-ON  90  55  89
      0 NOTE-ON  90  67  89
     45 NOTE-OFF 80  67  64
      0 NOTE-OFF 80  55  64
     15 NOTE-ON  90  49  89
      0 NOTE-ON  90  61  89
     45 NOTE-OFF 80  61  64
      0 NOTE-OFF 80  49  64
     30 NOTE-ON  90  38  89
    960 NOTE-ON  90  49  89
     15 NOTE-ON  90  52  89
     15 NOTE-ON  90  55  89
     15 NOTE-ON  90  58  89
     15 NOTE-ON  90  61  89
     15 NOTE-ON  90  64  89
     15 NOTE-ON  90  67  89
     15 NOTE-ON  90  70  89
   1065 NOTE-OFF 80  38  64
      0 NOTE-OFF 80  49  64
      0 NOTE-OFF 80  52  64
      0 NOTE-OFF 80  55  64
      0 NOTE-OFF 80  58  64
      0 NOTE-OFF 80  61  64
      0 NOTE-OFF 80  64  64
      0 NOTE-OFF 80  67  64
     60 NOTE-OFF 80  70  64
     15 NOTE-ON  90  69  89
     30 NOTE-OFF 80  69  64
     15 NOTE-ON  90  67  89
     30 NOTE-OFF 80  67  64
     15 NOTE-ON  90  65  89
     30 NOTE-OFF 80  65  64
     15 NOTE-ON  90  64  89
     30 NOTE-OFF 80  64  64
     15 NOTE-ON  90  62  89
     30 NOTE-OFF 80  62  64
     15 NOTE-ON  90  61  89
     75 NOTE-OFF 80  61  64
     15 NOTE-ON  90  57  89
     75 NOTE-OFF 80  57  64
     15 NOTE-ON  90  61  89
     75 NOTE-OFF 80  61  64
     15 NOTE-ON  90  64  89
     30 NOTE-OFF 80  64  64
     15 NOTE-ON  90  67  89
     30 NOTE-OFF 80  67  64
     15 NOTE-ON  90  65  89
     15 NOTE-OFF 80  65  64
     15 NOTE-ON  90  67  89
     15 NOTE-OFF 80  67  64
     15 NOTE-ON  90  65  89
     15 NOTE-OFF 80  65  64
     15 NOTE-ON  90  67  89
     15 NOTE-OFF 80  67  64
     15 NOTE-ON  90  65  89
     15 NOTE-OFF 80  65  64
     15 NOTE-ON  90  67  89
     15 NOTE-OFF 80  67  64
     15 NOTE-ON  90  65  89
     15 NOTE-OFF 80  65  64
     15 NOTE-ON  90  67  89
     15 NOTE-OFF 80  67  64
     15 NOTE-ON  90  65  89
     15 NOTE-OFF 80  65  64
     15 NOTE-ON  90  64  89
     75 NOTE-OFF 80  64  64
     15 NOTE-ON  90  65  89
      0 NOTE-ON  90  62  89
      0 NOTE-ON  90  57  89
      0 NOTE-ON  90  53  89
      0 NOTE-ON  90  50  89
      0 NOTE-ON  90  38  89
    450 NOTE-OFF 80  38  64
      0 NOTE-OFF 80  50  64
      0 NOTE-OFF 80  57  64
     15 NOTE-OFF 80  53  64
     15 NOTE-OFF 80  62  64
     30 NOTE-OFF 80  65  64
   1035 NOTE-ON  90  69  89
     60 NOTE-OFF 80  69  64
     30 NOTE-ON  90  74  89
     45 NOTE-ON  90  69  89
     30 NOTE-OFF 80  74  64
     15 NOTE-ON  90  76  89
     15 NOTE-OFF 80  69  64
     30 NOTE-ON  90  69  89
     30 NOTE-OFF 80  76  64
     15 NOTE-ON  90  77  89
     15 NOTE-OFF 80  69  64
     30 NOTE-ON  90  69  89
     30 NOTE-OFF 80  77  64
     15 NOTE-ON  90  74  89
     15 NOTE-OFF 80  69  64
     30 NOTE-ON  90  69  89
     30 NOTE-OFF 80  74  64
     15 NOTE-ON  90  76  89
     15 NOTE-OFF 80  69  64
     30 NOTE-ON  90  69  89
     30 NOTE-OFF 80  76  64
     15 NOTE-ON  90  77  89
     15 NOTE-OFF 80  69  64
     30 NOTE-ON  90  69  89
     30 NOTE-OFF 80  77  64
     15 NOTE-ON  90  79  89
     15 NOTE-OFF 80  69  64
     30 NOTE-ON  90  69  89
     30 NOTE-OFF 80  79  64
     15 NOTE-ON  90  76  89
     15 NOTE-OFF 80  69  64
     30 NOTE-ON  90  69  89
     30 NOTE-OFF 80  76  64
     15 NOTE-ON  90  77  89
     15 NOTE-OFF 80  69  64
     30 NOTE-ON  90  69  89
     30 NOTE-OFF 80  77  64
     15 NOTE-ON  90  79  89
     15 NOTE-OFF 80  69  64
     30 NOTE-ON  90  69  89
     30 NOTE-OFF 80  79  64
     15 NOTE-ON  90  81  89
     15 NOTE-OFF 80  69  64
     30 NOTE-ON  90  69  89
     30 NOTE-OFF 80  81  64
     15 NOTE-ON  90  77  89
     15 NOTE-OFF 80  69  64
     30 NOTE-ON  90  69  89
     30 NOTE-OFF 80  77  64
     15 NOTE-ON  90  79  89
     15 NOTE-OFF 80  69  64
     30 NOTE-ON  90  69  89
     30 NOTE-OFF 80  79  64
     15 NOTE-ON  90  81  89
     15 NOTE-OFF 80  69  64
     30 NOTE-ON  90  69  89
     30 NOTE-OFF 80  81  64
     15 NOTE-ON  90  82  89
     15 NOTE-OFF 80  69  64
     30 NOTE-ON  90  69  89
     30 NOTE-OFF 80  82  64
     15 NOTE-ON  90  79  89
     15 NOTE-OFF 80  69  64
     30 NOTE-ON  90  69  89
     30 NOTE-OFF 80  79  64
     15 NOTE-ON  90  81  89
     15 NOTE-OFF 80  69  64
     30 NOTE-ON  90  69  89
     30 NOTE-OFF 80  81  64
     15 NOTE-ON  90  77  89
     15 NOTE-OFF 80  69  64
     30 NOTE-ON  90  69  89
     30 NOTE-OFF 80  77  64
     15 NOTE-ON  90  79  89
     15 NOTE-OFF 80  69  64
     30 NOTE-ON  90  69  89
     30 NOTE-OFF 80  79  64
     15 NOTE-ON  90  76  89
     15 NOTE-OFF 80  69  64
     30 NOTE-ON  90  69  89
     30 NOTE-OFF 80  76  64
     15 NOTE-ON  90  77  89
     15 NOTE-OFF 80  69  64
     30 NOTE-ON  90  69  89
     30 NOTE-OFF 80  77  64
