READ /home/plank/cs140/Labs/Lab5/Test-Matrices/CM-06-02-4-4.txt
STORE Businessmen
RECALL Businessmen
PGM Egalitarian.pgm 2 1
SET 2 24 0
SET 3 0 1
SET 3 2 1
SET 3 3 0
SET 3 5 0
SET 3 6 1
SET 3 7 0
SET 3 9 1
SET 3 10 1
SET 3 12 1
SET 3 15 1
SET 3 20 0
SET 3 23 0
SET 4 1 0
SET 4 4 1
SET 4 5 0
SET 4 7 0
SET 4 10 1
SET 4 11 1
SET 4 12 0
SET 4 13 1
SET 4 18 1
SET 4 20 1
SET 4 21 0
SET 4 22 1
SET 4 23 1
SET 5 2 1
SET 5 3 1
SET 5 4 0
SET 5 5 1
SET 5 7 1
SET 5 9 0
SET 5 10 1
SET 5 13 1
SET 5 14 0
SET 5 16 0
SET 5 19 1
SET 5 20 0
SET 5 21 0
SET 5 22 0
SET 5 24 0
SET 6 1 0
SET 6 2 1
SET 6 4 0
SET 6 5 1
SET 6 6 0
SET 6 7 1
SET 6 9 1
SET 6 10 0
SET 6 11 0
SET 6 12 0
SET 6 13 1
SET 6 14 1
SET 6 15 0
SET 6 16 0
SET 6 18 0
SET 6 19 0
SET 6 20 0
SET 6 21 1
SET 6 22 1
SET 6 23 0
SET 6 24 0
SET 7 1 0
SET 7 3 0
SET 7 4 1
SET 7 7 1
SET 7 9 1
SET 7 13 0
SET 7 15 0
SET 7 17 1
SET 7 20 0
SET 7 21 1
SET 7 23 0
SET 7 24 0
SET 8 0 1
SET 8 1 0
SET 8 2 0
SET 8 5 0
SET 8 6 1
SET 8 8 1
SET 8 13 1
SET 8 14 0
SET 8 16 0
SET 8 18 1
SET 8 20 0
SET 8 21 1
SET 9 0 0
SET 9 1 1
SET 9 3 0
SET 9 6 1
SET 9 11 0
SET 9 15 0
SET 9 16 1
SET 9 17 1
SET 9 19 0
SET 9 21 1
SET 10 3 1
SET 10 4 0
SET 10 5 0
SET 10 8 1
SET 10 9 0
SET 10 10 0
SET 10 13 0
SET 10 18 1
SET 10 19 0
SET 10 20 0
SET 10 21 1
SET 10 23 0
SET 11 1 1
SET 11 2 0
SET 11 4 0
SET 11 5 0
SET 11 7 0
SET 11 10 1
SET 11 12 0
SET 11 13 0
SET 11 14 1
SET 11 15 0
SET 11 20 0
SET 11 21 0
SET 11 24 0
SET 12 0 1
SET 12 2 1
SET 12 3 0
SET 12 6 0
SET 12 9 1
SET 12 10 1
SET 12 12 0
SET 12 13 0
SET 12 20 0
SET 12 21 1
SET 12 23 1
STORE Earsplitting
EMPTY 13 6
SET 0 2 1
SET 0 3 1
SET 0 4 1
SET 0 5 1
SET 1 0 1
SET 1 1 1
SET 1 2 1
SET 1 3 1
SET 1 4 1
SET 1 5 1
SET 2 0 1
SET 2 4 1
SET 2 5 1
SET 3 4 1
SET 4 1 1
SET 4 2 1
SET 4 4 1
SET 5 2 1
SET 5 5 1
SET 6 0 1
SET 6 4 1
SET 6 5 1
SET 7 0 1
SET 7 1 1
SET 7 5 1
SET 8 0 1
SET 8 1 1
SET 8 4 1
SET 9 0 1
SET 9 3 1
SET 10 1 1
SET 10 3 1
SET 10 5 1
SET 11 1 1
SET 11 4 1
SET 12 2 1
SET 12 3 1
SET 12 4 1
STORE Plant
SET 0 2 0
SET 0 3 0
SET 0 4 0
SET 1 1 0
SET 1 2 0
SET 1 3 0
SET 2 1 1
SET 2 3 1
SET 2 4 0
SET 2 5 0
SET 3 0 1
SET 3 3 1
SET 3 4 0
SET 3 5 1
SET 4 0 1
SET 4 2 0
SET 4 3 1
SET 4 4 0
SET 5 1 1
SET 5 2 0
SET 5 4 1
SET 5 5 0
SET 6 0 0
SET 6 1 1
SET 6 5 0
SET 7 0 0
SET 7 1 0
SET 7 3 1
SET 8 2 1
SET 8 3 1
SET 8 4 0
SET 9 1 1
SET 9 2 1
SET 9 5 1
SET 10 0 1
SET 10 1 0
SET 10 2 1
SET 10 5 0
SET 11 0 1
SET 11 3 1
SET 11 4 0
SET 12 0 1
SET 12 2 0
SET 12 3 0
SET 12 4 0
SET 12 5 1
STORE Sine
EMPTY 25 17
SET 0 0 1
SET 0 1 1
SET 0 2 1
SET 0 3 1
SET 0 4 1
SET 0 6 1
SET 0 7 1
SET 0 14 1
SET 1 1 1
SET 1 3 1
SET 1 4 1
SET 1 10 1
SET 1 16 1
SET 2 1 1
SET 2 3 1
SET 2 4 1
SET 2 8 1
SET 2 9 1
SET 2 13 1
SET 2 14 1
SET 2 15 1
SET 2 16 1
SET 3 2 1
SET 3 4 1
SET 3 7 1
SET 3 10 1
SET 3 13 1
SET 3 14 1
SET 3 15 1
SET 3 16 1
SET 4 0 1
SET 4 2 1
SET 4 4 1
SET 4 6 1
SET 4 7 1
SET 4 9 1
SET 4 12 1
SET 4 13 1
SET 5 2 1
SET 5 3 1
SET 5 5 1
SET 5 7 1
SET 5 8 1
SET 5 10 1
SET 5 14 1
SET 5 15 1
SET 6 0 1
SET 6 1 1
SET 6 3 1
SET 6 4 1
SET 6 12 1
SET 6 14 1
SET 6 15 1
SET 7 0 1
SET 7 1 1
SET 7 2 1
SET 7 3 1
SET 7 4 1
SET 7 6 1
SET 7 13 1
SET 7 15 1
SET 7 16 1
SET 8 0 1
SET 8 1 1
SET 8 4 1
SET 8 8 1
SET 8 10 1
SET 8 13 1
SET 8 15 1
SET 8 16 1
SET 9 0 1
SET 9 1 1
SET 9 3 1
SET 9 5 1
SET 9 6 1
SET 9 7 1
SET 9 8 1
SET 9 10 1
SET 9 11 1
SET 9 13 1
SET 9 14 1
SET 9 16 1
SET 10 3 1
SET 10 5 1
SET 10 8 1
SET 10 9 1
SET 10 11 1
SET 10 12 1
SET 10 13 1
SET 10 15 1
SET 10 16 1
SET 11 0 1
SET 11 1 1
SET 11 2 1
SET 11 3 1
SET 11 4 1
SET 11 5 1
SET 11 6 1
SET 11 7 1
SET 11 10 1
SET 11 13 1
SET 11 14 1
SET 11 16 1
SET 12 0 1
SET 12 4 1
SET 12 6 1
SET 12 8 1
SET 12 10 1
SET 12 14 1
SET 12 16 1
SET 13 0 1
SET 13 2 1
SET 13 3 1
SET 13 7 1
SET 13 14 1
SET 13 15 1
SET 14 3 1
SET 14 5 1
SET 14 7 1
SET 14 10 1
SET 14 12 1
SET 14 13 1
SET 14 14 1
SET 14 15 1
SET 14 16 1
SET 15 0 1
SET 15 1 1
SET 15 4 1
SET 15 7 1
SET 15 12 1
SET 15 13 1
SET 16 1 1
SET 16 2 1
SET 16 8 1
SET 16 11 1
SET 16 14 1
SET 16 15 1
SET 16 16 1
SET 17 0 1
SET 17 5 1
SET 17 10 1
SET 17 12 1
SET 17 14 1
SET 18 4 1
SET 18 5 1
SET 18 7 1
SET 18 9 1
SET 18 10 1
SET 18 13 1
SET 18 14 1
SET 18 15 1
SET 19 2 1
SET 19 8 1
SET 19 11 1
SET 19 13 1
SET 20 1 1
SET 20 2 1
SET 20 4 1
SET 20 5 1
SET 20 8 1
SET 20 10 1
SET 20 12 1
SET 20 14 1
SET 20 15 1
SET 20 16 1
SET 21 0 1
SET 21 1 1
SET 21 2 1
SET 21 5 1
SET 21 6 1
SET 21 9 1
SET 21 10 1
SET 21 11 1
SET 21 13 1
SET 22 0 1
SET 22 4 1
SET 22 5 1
SET 22 6 1
SET 22 9 1
SET 22 13 1
SET 22 14 1
SET 23 0 1
SET 23 3 1
SET 23 4 1
SET 23 5 1
SET 23 8 1
SET 23 12 1
SET 23 14 1
SET 23 15 1
SET 24 0 1
SET 24 4 1
SET 24 5 1
SET 24 6 1
SET 24 8 1
SET 24 9 1
SET 24 10 1
SET 24 11 1
SET 24 12 1
SET 24 14 1
SET 24 15 1
STORE Nautical
PRODUCT Trapezoidal Nautical
STORE Galactic
PRINT 4
PRODUCT Earsplitting Nautical
STORE Fungi
PGM Deviant.pgm 8 4
RECALL Netherworld
PGM Strap.pgm 1 3
VAL 3 4
VAL 8 10
EMPTY 16 12
SET 0 1 1
SET 0 2 1
SET 0 5 1
SET 0 6 1
SET 0 8 1
SET 0 10 1
SET 0 11 1
SET 1 2 1
SET 1 5 1
SET 1 9 1
SET 1 11 1
SET 2 2 1
SET 2 3 1
SET 2 4 1
SET 2 5 1
SET 2 7 1
SET 2 10 1
SET 2 11 1
SET 3 0 1
SET 3 2 1
SET 3 5 1
SET 3 7 1
SET 3 11 1
SET 4 0 1
SET 4 3 1
SET 4 4 1
SET 4 9 1
SET 4 11 1
SET 5 3 1
SET 5 9 1
SET 5 10 1
SET 5 11 1
SET 6 2 1
SET 6 7 1
SET 6 8 1
SET 6 9 1
SET 6 11 1
SET 7 0 1
SET 7 3 1
SET 7 4 1
SET 7 7 1
SET 7 9 1
SET 8 5 1
SET 8 6 1
SET 8 7 1
SET 8 9 1
SET 8 11 1
SET 9 1 1
SET 9 4 1
SET 9 5 1
SET 9 6 1
SET 9 10 1
SET 10 0 1
SET 10 1 1
SET 10 5 1
SET 10 10 1
SET 10 11 1
SET 11 0 1
SET 11 1 1
SET 11 5 1
SET 11 7 1
SET 11 8 1
SET 11 9 1
SET 12 1 1
SET 12 2 1
SET 12 3 1
SET 12 5 1
SET 12 6 1
SET 12 7 1
SET 12 11 1
SET 13 1 1
SET 13 3 1
SET 13 8 1
SET 13 9 1
SET 13 10 1
SET 14 3 1
SET 14 5 1
SET 14 6 1
SET 14 7 1
SET 14 8 1
SET 14 10 1
SET 14 11 1
SET 15 1 1
SET 15 2 1
SET 15 4 1
SET 15 5 1
SET 15 6 1
SET 15 7 1
SET 15 8 1
SET 15 10 1
SET 15 11 1
STORE Lubell
EMPTY 14 18
STORE Hardhat
READ /home/plank/cs140/Labs/Lab5/Test-Matrices/CM-07-09-4-0.txt
STORE Genetic
READ /home/plank/cs140/Labs/Lab5/Test-Matrices/CM-05-10-4-1.txt
STORE Octagonal
READ /home/plank/cs140/Labs/Lab5/Test-Matrices/CM-07-07-4-4.txt
STORE Harvest
READ /home/plank/cs140/Labs/Lab5/Test-Matrices/CM-07-07-4-2.txt
STORE Byron
READ /home/plank/cs140/Labs/Lab5/Test-Matrices/CM-04-06-4-0.txt
STORE Picnicker
READ /home/plank/cs140/Labs/Lab5/Test-Matrices/CM-06-02-4-1.txt
STORE Portuguese
READ /home/plank/cs140/Labs/Lab5/Test-Matrices/CM-11-03-4-2.txt
STORE Winemaster
READ /home/plank/cs140/Labs/Lab5/Test-Matrices/CM-06-02-3-2.txt
STORE Deed
RECALL Genetic
+= 5 25
STORE Headway
PRINT 0
READ /home/plank/cs140/Labs/Lab5/Test-Matrices/CM-11-02-4-3.txt
STORE Menagerie
READ /home/plank/cs140/Labs/Lab5/Test-Matrices/CM-03-07-4-2.txt
STORE Btu
READ /home/plank/cs140/Labs/Lab5/Test-Matrices/CM-07-07-4-2.txt
STORE Calamitous
READ /home/plank/cs140/Labs/Lab5/Test-Matrices/CM-09-02-4-3.txt
STORE Mediocrity
READ /home/plank/cs140/Labs/Lab5/Test-Matrices/CM-06-02-3-1.txt
STORE Finnish
READ /home/plank/cs140/Labs/Lab5/Test-Matrices/CM-05-10-4-4.txt
STORE Eye
READ /home/plank/cs140/Labs/Lab5/Test-Matrices/CM-05-03-3-4.txt
STORE Extracurricular
READ /home/plank/cs140/Labs/Lab5/Test-Matrices/CM-06-04-4-4.txt
STORE Snarl
READ /home/plank/cs140/Labs/Lab5/Test-Matrices/CM-05-08-4-3.txt
STORE Vast
READ /home/plank/cs140/Labs/Lab5/Test-Matrices/CM-05-06-4-0.txt
STORE Villainous
READ /home/plank/cs140/Labs/Lab5/Test-Matrices/CM-03-13-4-1.txt
STORE Carport
READ /home/plank/cs140/Labs/Lab5/Test-Matrices/CM-07-07-4-1.txt
STORE Pickoff
RECALL Trapezoidal
PRINT 9
RECALL Officiate
RECALL Headway
SWAP 28 24
STORE Askance
PRINT 4
ALL
RECALL Genetic
PGM Gsa.pgm 4 0
ALL
RECALL Genetic
PRINT 10
READ /home/plank/cs140/Labs/Lab5/Test-Matrices/CM-06-03-4-4.txt
STORE Plod
READ /home/plank/cs140/Labs/Lab5/Test-Matrices/CM-06-06-4-0.txt
STORE Insane
READ /home/plank/cs140/Labs/Lab5/Test-Matrices/CM-04-03-3-4.txt
STORE Consummate
READ /home/plank/cs140/Labs/Lab5/Test-Matrices/CM-05-06-4-0.txt
STORE Lapelled
EMPTY 13 6
SET 0 3 1
SET 0 5 1
SET 1 0 1
SET 1 1 1
SET 1 2 1
SET 1 3 1
SET 2 0 1
SET 2 3 1
SET 2 4 1
SET 2 5 1
SET 3 0 1
SET 3 2 1
SET 4 2 1
SET 4 5 1
SET 5 2 1
SET 5 5 1
SET 6 0 1
SET 6 1 1
SET 6 2 1
SET 7 0 1
SET 7 2 1
SET 7 3 1
SET 8 5 1
SET 9 0 1
SET 9 1 1
SET 9 4 1
SET 9 5 1
SET 10 3 1
SET 10 4 1
SET 11 0 1
SET 11 3 1
SET 11 4 1
SET 12 1 1
SET 12 5 1
STORE Hog
SET 0 0 1
SET 0 1 1
SET 0 2 1
SET 0 3 0
SET 0 5 0
SET 1 1 0
SET 1 2 0
SET 1 3 0
SET 1 5 1
SET 2 3 0
SET 2 5 0
SET 3 1 1
SET 3 4 1
SET 3 5 1
SET 4 0 1
SET 4 3 1
SET 5 1 1
SET 5 4 1
SET 5 5 0
SET 6 0 0
SET 6 2 0
SET 6 3 1
SET 6 4 1
SET 6 5 1
SET 7 0 0
SET 7 1 1
SET 7 5 1
SET 8 0 1
SET 8 1 1
SET 8 2 1
SET 8 3 1
SET 8 4 1
SET 9 0 0
SET 9 1 0
SET 9 2 1
SET 9 3 1
SET 9 4 0
SET 9 5 0
SET 10 4 0
SET 10 5 1
SET 11 2 1
SET 12 0 1
SET 12 1 0
SET 12 2 1
STORE Span
EMPTY 1 19
SET 0 6 1
SET 0 7 1
SET 0 9 1
SET 0 11 1
SET 0 13 1
STORE Elliot
SET 0 1 1
SET 0 2 1
SET 0 3 1
SET 0 4 1
SET 0 6 0
SET 0 8 1
SET 0 10 1
SET 0 12 1
SET 0 14 1
SET 0 15 1
SET 0 16 1
STORE Benzene
RECALL Calamitous
PGM Creature.pgm 8 4
READ /home/plank/cs140/Labs/Lab5/Test-Matrices/CM-05-04-4-0.txt
STORE Trytophan
READ /home/plank/cs140/Labs/Lab5/Test-Matrices/CM-03-03-4-0.txt
STORE Breeches
READ /home/plank/cs140/Labs/Lab5/Test-Matrices/CM-03-07-4-3.txt
STORE Anaconda
READ /home/plank/cs140/Labs/Lab5/Test-Matrices/CM-11-02-4-2.txt
STORE Abusive
VAL 6 6
VAL 0 25
VAL 3 39
SUM Octagonal Eye
STORE Thereabouts
PGM Lampoon.pgm 9 2
RECALL Fungi
PRINT 8
READ /home/plank/cs140/Labs/Lab5/Test-Matrices/CM-04-11-4-3.txt
STORE Brewster
READ /home/plank/cs140/Labs/Lab5/Test-Matrices/CM-03-05-3-2.txt
STORE Punic
READ /home/plank/cs140/Labs/Lab5/Test-Matrices/CM-07-07-4-0.txt
STORE Fenugreek
READ /home/plank/cs140/Labs/Lab5/Test-Matrices/CM-05-05-4-3.txt
STORE Leek
VAL 1 6
EMPTY 7 6
SET 0 1 1
SET 0 2 1
SET 1 0 1
SET 1 1 1
SET 1 5 1
SET 2 3 1
SET 3 3 1
SET 3 5 1
SET 4 1 1
SET 5 1 1
SET 5 3 1
SET 5 5 1
SET 6 0 1
SET 6 4 1
STORE Compact
SET 0 2 0
SET 0 4 1
SET 1 0 0
SET 1 1 0
SET 2 0 1
SET 2 3 0
SET 2 4 1
SET 3 1 1
SET 3 2 1
SET 4 1 0
SET 4 3 1
SET 4 5 1
SET 5 0 1
SET 5 1 0
SET 5 3 0
SET 5 5 0
SET 6 0 0
SET 6 1 1
STORE Trivia
EMPTY 11 8
SET 0 0 1
SET 0 1 1
SET 0 2 1
SET 0 4 1
SET 0 6 1
SET 1 4 1
SET 1 5 1
SET 1 7 1
SET 2 3 1
SET 2 4 1
SET 3 4 1
SET 4 3 1
SET 4 5 1
SET 5 0 1
SET 5 2 1
SET 5 3 1
SET 5 4 1
SET 5 6 1
SET 5 7 1
SET 6 3 1
SET 6 4 1
SET 6 5 1
SET 6 6 1
SET 6 7 1
SET 7 0 1
SET 7 1 1
SET 7 2 1
SET 7 3 1
SET 7 4 1
SET 7 5 1
SET 7 6 1
SET 8 0 1
SET 8 2 1
SET 8 7 1
SET 9 3 1
SET 9 5 1
SET 9 6 1
SET 9 7 1
SET 10 1 1
SET 10 2 1
SET 10 3 1
SET 10 5 1
SET 10 7 1
STORE Lucre
SET 0 2 0
SET 0 3 1
SET 0 4 0
SET 0 6 0
SET 1 0 1
SET 1 1 1
SET 1 4 0
SET 2 2 1
SET 2 5 1
SET 2 6 1
SET 3 0 1
SET 3 1 1
SET 4 2 1
SET 4 3 0
SET 5 0 0
SET 5 1 1
SET 5 5 1
SET 5 6 0
SET 5 7 0
SET 6 2 1
SET 6 4 0
SET 6 5 0
SET 7 0 0
SET 7 1 0
SET 7 5 0
SET 7 7 1
SET 8 0 0
SET 8 3 1
SET 8 7 0
SET 9 0 1
SET 9 1 1
SET 9 3 0
SET 9 4 1
SET 9 6 0
SET 10 1 0
SET 10 2 0
SET 10 3 0
SET 10 5 0
STORE Annum
EMPTY 14 20
SET 0 0 1
SET 0 1 1
SET 0 2 1
SET 0 6 1
SET 0 9 1
SET 0 10 1
SET 0 11 1
SET 0 12 1
SET 0 13 1
SET 0 15 1
SET 0 18 1
SET 0 19 1
SET 1 0 1
SET 1 3 1
SET 1 9 1
SET 1 13 1
SET 1 14 1
SET 1 16 1
SET 1 17 1
SET 2 3 1
SET 2 5 1
SET 2 6 1
SET 2 7 1
SET 2 8 1
SET 2 10 1
SET 2 14 1
SET 2 15 1
SET 2 16 1
SET 2 17 1
SET 3 1 1
SET 3 3 1
SET 3 4 1
SET 3 6 1
SET 3 8 1
SET 3 10 1
SET 3 12 1
SET 3 13 1
SET 3 15 1
SET 3 17 1
SET 3 18 1
SET 4 1 1
SET 4 3 1
SET 4 4 1
SET 4 5 1
SET 4 8 1
SET 4 9 1
SET 4 10 1
SET 4 14 1
SET 4 15 1
SET 4 18 1
SET 4 19 1
SET 5 1 1
SET 5 4 1
SET 5 5 1
SET 5 6 1
SET 5 7 1
SET 5 9 1
SET 5 14 1
SET 5 15 1
SET 5 17 1
SET 5 19 1
SET 6 4 1
SET 6 6 1
SET 6 8 1
SET 6 10 1
SET 6 12 1
SET 6 15 1
SET 6 17 1
SET 6 18 1
SET 7 0 1
SET 7 1 1
SET 7 2 1
SET 7 3 1
SET 7 4 1
SET 7 9 1
SET 7 13 1
SET 7 14 1
SET 7 15 1
SET 7 18 1
SET 8 0 1
SET 8 1 1
SET 8 2 1
SET 8 3 1
SET 8 4 1
SET 8 5 1
SET 8 13 1
SET 8 14 1
SET 8 15 1
SET 8 17 1
SET 8 18 1
SET 9 1 1
SET 9 2 1
SET 9 3 1
SET 9 4 1
SET 9 13 1
SET 9 15 1
SET 9 16 1
SET 9 17 1
SET 10 0 1
SET 10 1 1
SET 10 2 1
SET 10 4 1
SET 10 7 1
SET 10 10 1
SET 10 11 1
SET 10 12 1
SET 10 13 1
SET 10 14 1
SET 10 15 1
SET 10 16 1
SET 11 1 1
SET 11 4 1
SET 11 5 1
SET 11 7 1
SET 11 11 1
SET 11 12 1
SET 11 15 1
SET 11 16 1
SET 11 19 1
SET 12 0 1
SET 12 2 1
SET 12 4 1
SET 12 5 1
SET 12 11 1
