READ /home/plank/cs140/Labs/Lab5/Test-Matrices/CM-05-02-3-2.txt
STORE Mysterious
VAL 2 11
READ /home/plank/cs140/Labs/Lab5/Test-Matrices/CM-03-05-3-4.txt
STORE Pragmatic
PRODUCT Mysterious Pragmatic
STORE Skindive
PGM Aspheric.pgm 10 2
SET 11 2 1
SET 11 5 1
SET 11 6 1
SET 11 8 1
SET 11 12 1
SET 11 13 1
SET 11 14 1
SET 11 15 1
SET 12 1 1
SET 12 3 1
SET 12 7 1
SET 12 11 1
SET 12 12 1
SET 13 0 1
SET 13 1 1
SET 13 2 1
SET 13 3 1
SET 13 4 1
SET 13 5 1
SET 13 8 1
SET 13 9 1
SET 13 13 1
SET 13 14 1
SET 13 15 1
SET 14 1 1
SET 14 3 1
SET 14 4 1
SET 14 6 1
SET 14 7 1
SET 14 9 1
SET 14 10 1
SET 14 11 1
SET 14 13 1
SET 14 14 1
SET 14 15 1
SET 15 1 1
SET 15 3 1
SET 15 4 1
SET 15 6 1
SET 15 8 1
SET 15 11 1
SET 15 15 1
STORE Bristol
SET 0 0 0
SET 0 1 0
SET 0 5 1
SET 0 6 1
SET 0 8 0
SET 0 12 1
SET 0 14 1
SET 1 0 1
SET 1 3 0
SET 1 4 1
SET 1 8 1
SET 1 13 1
SET 1 14 0
SET 1 15 0
SET 2 1 0
SET 2 2 0
SET 2 3 0
SET 2 4 1
SET 2 7 0
SET 2 8 0
SET 2 9 1
SET 2 10 0
SET 2 11 1
SET 2 12 0
SET 2 13 1
SET 2 15 1
SET 3 0 1
SET 3 1 1
SET 3 2 1
SET 3 3 0
SET 3 5 1
SET 3 6 1
SET 3 7 0
SET 3 8 0
SET 3 9 1
SET 3 15 1
SET 4 2 1
SET 4 3 1
SET 4 4 0
SET 4 5 1
SET 4 10 1
SET 4 12 0
SET 4 13 1
SET 4 15 1
SET 5 0 0
SET 5 2 0
SET 5 4 0
SET 5 6 0
SET 5 7 0
SET 5 8 0
SET 5 9 1
SET 5 10 0
SET 5 11 1
SET 5 13 0
SET 6 1 1
SET 6 3 0
SET 6 4 0
SET 6 5 0
SET 6 6 1
SET 6 7 1
SET 6 10 0
SET 6 11 0
SET 6 12 0
SET 7 0 0
SET 7 3 0
SET 7 6 1
SET 7 7 1
SET 7 8 0
SET 7 10 1
SET 7 12 0
SET 7 13 0
SET 7 15 0
SET 8 0 1
SET 8 2 0
SET 8 3 1
SET 8 4 0
SET 8 6 0
SET 8 7 1
SET 8 10 0
SET 8 11 1
SET 8 13 0
SET 8 15 1
SET 9 0 0
SET 9 1 1
SET 9 2 0
SET 9 3 1
SET 9 4 1
SET 9 5 1
SET 9 6 0
SET 9 7 0
SET 9 9 0
SET 9 10 1
SET 9 11 0
SET 9 12 1
SET 10 0 1
SET 10 2 1
SET 10 6 0
SET 10 8 1
SET 10 11 1
SET 10 13 0
SET 11 4 1
SET 11 9 1
SET 11 12 0
SET 11 13 0
SET 11 14 0
SET 12 0 1
SET 12 1 0
SET 12 5 1
SET 12 7 0
SET 12 8 1
SET 12 9 1
SET 12 14 1
SET 12 15 1
SET 13 0 0
SET 13 1 0
SET 13 3 0
SET 13 4 0
SET 13 5 0
SET 13 7 1
SET 13 8 0
SET 13 12 1
SET 13 13 0
SET 13 14 0
SET 13 15 0
SET 14 0 1
SET 14 3 0
SET 14 7 0
SET 14 8 1
SET 14 10 0
SET 14 11 0
SET 14 12 1
SET 14 13 0
SET 14 14 0
SET 15 0 1
SET 15 4 0
SET 15 9 1
SET 15 11 0
SET 15 14 1
STORE Frolic
RECALL Mysterious
SWAP 1 4
STORE Finch
PRINT 0
READ /home/plank/cs140/Labs/Lab5/Test-Matrices/CM-08-05-4-2.txt
STORE Knick
READ /home/plank/cs140/Labs/Lab5/Test-Matrices/CM-06-03-4-1.txt
STORE Freed
READ /home/plank/cs140/Labs/Lab5/Test-Matrices/CM-03-09-4-2.txt
STORE Sladang
READ /home/plank/cs140/Labs/Lab5/Test-Matrices/CM-03-05-4-4.txt
STORE Attire
RECALL Skindive
SUBMATRIX 0 1 2 3 4
PGM Flock.pgm 6 0
RECALL Freed
PRINT 19
VAL 1 20
RECALL Sladang
PGM Employee.pgm 7 4
READ /home/plank/cs140/Labs/Lab5/Test-Matrices/CM-06-02-3-1.txt
STORE Portrayal
READ /home/plank/cs140/Labs/Lab5/Test-Matrices/CM-03-05-4-0.txt
STORE Clare
READ /home/plank/cs140/Labs/Lab5/Test-Matrices/CM-08-04-4-4.txt
STORE Kaufman
READ /home/plank/cs140/Labs/Lab5/Test-Matrices/CM-10-06-4-1.txt
STORE Assay
READ /home/plank/cs140/Labs/Lab5/Test-Matrices/CM-03-06-4-0.txt
STORE Maintain
READ /home/plank/cs140/Labs/Lab5/Test-Matrices/CM-09-05-4-2.txt
STORE Deerskin
READ /home/plank/cs140/Labs/Lab5/Test-Matrices/CM-05-04-4-3.txt
STORE Forest
READ /home/plank/cs140/Labs/Lab5/Test-Matrices/CM-08-02-4-3.txt
STORE Pensacola
RECALL Rock
PGM Kraut.pgm 7 3
VAL 1 6
ALL
READ /home/plank/cs140/Labs/Lab5/Test-Matrices/CM-06-02-3-2.txt
STORE Arclength
SUM Portrayal Arclength
STORE Mundane
PRINT 12
EMPTY 11 24
SET 0 1 1
SET 0 2 1
SET 0 3 1
SET 0 4 1
SET 0 8 1
SET 0 9 1
SET 0 20 1
SET 1 1 1
SET 1 3 1
SET 1 6 1
SET 1 9 1
SET 1 10 1
SET 1 13 1
SET 1 15 1
SET 1 16 1
SET 1 20 1
SET 1 22 1
SET 2 0 1
SET 2 4 1
SET 2 11 1
SET 2 13 1
SET 2 15 1
SET 2 16 1
SET 2 19 1
SET 2 20 1
SET 2 23 1
SET 3 0 1
SET 3 1 1
SET 3 2 1
SET 3 3 1
SET 3 6 1
SET 3 8 1
SET 3 9 1
SET 3 13 1
SET 3 15 1
SET 3 18 1
SET 3 23 1
SET 4 1 1
SET 4 4 1
SET 4 9 1
SET 4 10 1
SET 4 11 1
SET 4 12 1
SET 4 15 1
SET 4 16 1
SET 4 17 1
SET 4 19 1
SET 4 20 1
SET 4 21 1
SET 5 0 1
SET 5 2 1
SET 5 4 1
SET 5 6 1
SET 5 7 1
SET 5 8 1
SET 5 11 1
SET 5 12 1
SET 5 14 1
SET 5 15 1
SET 5 16 1
SET 5 19 1
SET 5 20 1
SET 5 22 1
SET 5 23 1
SET 6 0 1
SET 6 2 1
SET 6 5 1
SET 6 10 1
SET 6 11 1
SET 6 12 1
SET 6 17 1
SET 6 20 1
SET 6 21 1
SET 6 23 1
SET 7 0 1
SET 7 1 1
SET 7 2 1
SET 7 3 1
SET 7 7 1
SET 7 8 1
SET 7 12 1
SET 7 13 1
SET 7 14 1
SET 7 15 1
SET 7 18 1
SET 7 20 1
SET 7 21 1
SET 7 23 1
SET 8 2 1
SET 8 3 1
SET 8 4 1
SET 8 6 1
SET 8 10 1
SET 8 11 1
SET 8 12 1
SET 8 13 1
SET 8 14 1
SET 8 17 1
SET 8 18 1
SET 8 19 1
SET 9 2 1
SET 9 4 1
SET 9 5 1
SET 9 6 1
SET 9 9 1
SET 9 10 1
SET 9 11 1
SET 9 12 1
SET 9 13 1
SET 9 14 1
SET 9 15 1
SET 9 17 1
SET 9 19 1
SET 9 20 1
SET 9 23 1
SET 10 3 1
SET 10 4 1
SET 10 5 1
SET 10 6 1
SET 10 7 1
SET 10 8 1
SET 10 12 1
SET 10 13 1
SET 10 14 1
SET 10 16 1
SET 10 17 1
SET 10 19 1
SET 10 20 1
SET 10 21 1
SET 10 22 1
SET 10 23 1
STORE Miasma
SET 0 2 0
SET 0 4 0
SET 0 5 1
SET 0 6 1
SET 0 14 1
SET 0 15 1
SET 0 17 1
SET 0 18 1
SET 0 22 1
SET 1 0 1
SET 1 1 0
SET 1 2 1
SET 1 4 1
SET 1 5 1
SET 1 9 0
SET 1 10 0
SET 1 13 0
SET 1 15 0
SET 1 16 0
SET 1 18 1
SET 1 19 1
SET 1 22 0
SET 1 23 1
SET 2 1 1
SET 2 2 1
SET 2 5 1
SET 2 8 1
SET 2 10 1
SET 2 12 1
SET 2 13 0
SET 2 14 1
SET 2 16 0
SET 2 18 1
SET 2 23 0
SET 3 0 0
SET 3 6 0
SET 3 7 1
SET 3 9 0
SET 3 10 1
SET 3 12 1
SET 3 16 1
SET 3 17 1
SET 3 18 0
SET 3 19 1
SET 3 21 1
SET 4 2 1
SET 4 5 1
SET 4 6 1
SET 4 9 0
SET 4 13 1
SET 4 14 1
SET 4 16 0
SET 4 17 0
SET 4 18 1
SET 4 21 0
SET 5 0 0
SET 5 1 1
SET 5 2 0
SET 5 3 1
SET 5 8 0
SET 5 9 1
SET 5 11 0
SET 5 12 0
SET 5 13 1
SET 5 14 0
SET 5 17 1
SET 6 0 0
SET 6 1 1
SET 6 4 1
SET 6 6 1
SET 6 7 1
SET 6 9 1
SET 6 10 0
SET 6 11 0
SET 6 12 0
SET 6 15 1
SET 6 16 1
SET 6 17 0
SET 6 20 0
SET 6 23 0
SET 7 1 0
SET 7 2 0
SET 7 4 1
SET 7 8 0
SET 7 9 1
SET 7 10 1
SET 7 17 1
SET 7 18 0
SET 7 20 0
SET 7 21 0
SET 7 23 0
SET 8 0 1
SET 8 2 0
SET 8 5 1
SET 8 7 1
SET 8 8 1
SET 8 13 0
SET 8 20 1
SET 8 21 1
SET 8 23 1
SET 9 0 1
SET 9 1 1
SET 9 3 1
SET 9 4 0
SET 9 6 0
SET 9 7 1
SET 9 9 0
SET 9 13 0
SET 9 14 0
SET 9 16 1
SET 9 19 0
SET 9 20 0
SET 9 22 1
SET 10 1 1
SET 10 5 0
SET 10 8 0
SET 10 9 1
SET 10 10 1
SET 10 12 0
SET 10 13 0
SET 10 14 0
SET 10 17 0
SET 10 18 1
SET 10 19 0
SET 10 21 0
SET 10 22 0
STORE Gown
EMPTY 1 8
SET 0 0 1
SET 0 3 1
SET 0 4 1
SET 0 5 1
SET 0 6 1
SET 0 7 1
STORE Neodymium
SET 0 0 0
SET 0 2 1
SET 0 3 0
SET 0 5 0
SET 0 6 0
STORE Mountaineer
VAL 0 6
RECALL Deerskin
PRINT 9
VAL 4 16
RECALL Epidemiology
PGM Exude.pgm 1 0
EMPTY 4 2
SET 0 1 1
SET 1 0 1
SET 1 1 1
SET 2 0 1
SET 2 1 1
SET 3 0 1
SET 3 1 1
STORE Carborundum
SET 1 0 0
SET 1 1 0
SET 2 1 0
SET 3 0 0
SET 3 1 0
STORE Hydrophilic
EMPTY 1 14
SET 0 0 1
SET 0 2 1
SET 0 3 1
SET 0 4 1
SET 0 5 1
SET 0 6 1
SET 0 7 1
SET 0 9 1
STORE Whereabout
SET 0 1 1
SET 0 2 0
SET 0 6 0
SET 0 10 1
SET 0 12 1
STORE Hopkins
RECALL Forest
SWAP 0 8
STORE Immemorial
PGM Foregoing.pgm 6 2
READ /home/plank/cs140/Labs/Lab5/Test-Matrices/CM-08-08-4-3.txt
STORE Sectarian
READ /home/plank/cs140/Labs/Lab5/Test-Matrices/CM-07-04-4-2.txt
STORE Hyde
READ /home/plank/cs140/Labs/Lab5/Test-Matrices/CM-06-05-4-4.txt
STORE Centaur
READ /home/plank/cs140/Labs/Lab5/Test-Matrices/CM-08-05-4-1.txt
STORE Alteration
EMPTY 3 7
SET 0 2 1
SET 0 5 1
SET 1 0 1
SET 1 1 1
SET 1 2 1
SET 1 4 1
SET 1 6 1
SET 2 0 1
SET 2 3 1
STORE Rubbery
SET 0 0 1
SET 0 2 0
SET 0 5 0
SET 1 0 0
SET 1 1 0
SET 1 2 0
SET 1 5 1
SET 1 6 0
SET 2 1 1
SET 2 3 0
SET 2 4 1
STORE Phosphine
EMPTY 14 17
SET 0 0 1
SET 0 2 1
SET 0 4 1
SET 0 6 1
SET 0 8 1
SET 0 9 1
SET 0 10 1
SET 0 12 1
SET 0 15 1
SET 1 1 1
SET 1 2 1
SET 1 3 1
SET 1 5 1
SET 1 6 1
SET 1 7 1
SET 1 8 1
SET 1 9 1
SET 1 10 1
SET 1 13 1
SET 1 14 1
SET 1 15 1
SET 1 16 1
SET 2 1 1
SET 2 3 1
SET 2 5 1
SET 2 6 1
SET 2 8 1
SET 2 16 1
SET 3 0 1
SET 3 2 1
SET 3 3 1
SET 3 5 1
SET 3 6 1
SET 3 7 1
SET 3 8 1
SET 3 11 1
SET 3 12 1
SET 3 13 1
SET 3 14 1
SET 4 0 1
SET 4 1 1
SET 4 2 1
SET 4 3 1
SET 4 4 1
SET 4 6 1
SET 4 7 1
SET 4 9 1
SET 4 10 1
SET 4 15 1
SET 4 16 1
SET 5 0 1
SET 5 1 1
SET 5 3 1
SET 5 4 1
SET 5 5 1
SET 5 6 1
SET 5 8 1
SET 5 10 1
SET 5 12 1
SET 5 13 1
SET 5 14 1
SET 5 15 1
SET 5 16 1
SET 6 0 1
SET 6 3 1
SET 6 5 1
SET 6 8 1
SET 6 9 1
SET 6 13 1
SET 6 14 1
SET 6 15 1
SET 7 0 1
SET 7 1 1
SET 7 2 1
SET 7 3 1
SET 7 4 1
SET 7 6 1
SET 7 7 1
SET 7 9 1
SET 7 11 1
SET 7 12 1
SET 7 13 1
SET 7 14 1
SET 8 0 1
SET 8 3 1
SET 8 4 1
SET 8 6 1
SET 8 8 1
SET 8 10 1
SET 9 0 1
SET 9 1 1
SET 9 4 1
SET 9 5 1
SET 9 9 1
SET 9 11 1
SET 9 12 1
SET 9 13 1
SET 9 15 1
SET 9 16 1
SET 10 0 1
SET 10 4 1
SET 10 5 1
SET 10 7 1
SET 10 8 1
SET 10 9 1
SET 10 12 1
SET 10 13 1
SET 10 15 1
SET 10 16 1
SET 11 3 1
SET 11 4 1
SET 11 6 1
SET 11 7 1
SET 11 8 1
SET 11 10 1
SET 11 13 1
SET 11 15 1
SET 11 16 1
SET 12 0 1
SET 12 4 1
SET 12 10 1
SET 12 13 1
SET 12 14 1
SET 13 2 1
SET 13 3 1
SET 13 4 1
SET 13 7 1
SET 13 11 1
SET 13 14 1
SET 13 15 1
STORE Compress
SET 0 0 0
SET 0 1 1
SET 0 2 0
SET 0 3 1
SET 0 4 0
SET 0 7 1
SET 0 8 0
SET 0 13 1
SET 0 14 1
SET 0 15 0
SET 0 16 1
SET 1 3 0
SET 1 5 0
SET 1 6 0
SET 1 8 0
SET 1 13 0
SET 1 15 0
SET 2 0 1
SET 2 1 0
SET 2 2 1
SET 2 3 0
SET 2 4 1
SET 2 8 0
SET 2 9 1
SET 2 10 1
SET 2 13 1
SET 2 14 1
SET 2 15 1
SET 3 0 0
SET 3 1 1
SET 3 2 0
SET 3 4 1
SET 3 6 0
SET 3 9 1
SET 3 10 1
SET 3 12 0
SET 3 13 0
SET 3 14 0
SET 3 15 1
SET 3 16 1
SET 4 0 0
SET 4 6 0
SET 4 7 0
SET 4 8 1
SET 4 9 0
SET 4 10 0
SET 4 11 1
SET 4 12 1
SET 5 0 0
SET 5 7 1
SET 5 9 1
SET 5 10 0
SET 5 12 0
SET 5 14 0
SET 5 16 0
SET 6 2 1
SET 6 5 0
SET 6 7 1
SET 6 11 1
SET 6 13 0
SET 6 16 1
SET 7 0 0
SET 7 6 0
SET 7 7 0
SET 7 10 1
SET 7 12 0
SET 7 14 0
SET 8 1 1
SET 8 2 1
SET 8 3 0
SET 8 4 0
SET 8 8 0
SET 8 11 1
SET 8 12 1
SET 8 14 1
SET 8 16 1
SET 9 0 0
SET 9 2 1
SET 9 3 1
SET 9 5 0
SET 9 8 1
SET 9 10 1
SET 9 12 0
SET 9 15 0
SET 9 16 0
SET 10 0 0
SET 10 1 1
SET 10 5 0
SET 10 8 0
SET 10 9 0
SET 10 12 0
SET 10 15 0
SET 10 16 0
SET 11 3 0
SET 11 4 0
SET 11 7 0
SET 11 9 1
SET 11 10 0
SET 11 12 1
SET 11 13 0
SET 11 15 0
SET 12 0 0
SET 12 1 1
SET 12 2 1
SET 12 4 0
SET 12 5 1
SET 12 6 1
SET 12 7 1
SET 12 8 1
SET 12 10 0
SET 12 11 1
SET 12 12 1
SET 12 14 0
SET 13 1 1
SET 13 3 0
SET 13 5 1
SET 13 6 1
SET 13 7 0
SET 13 8 1
SET 13 9 1
SET 13 10 1
SET 13 11 0
SET 13 12 1
SET 13 14 0
SET 13 15 0
STORE Advent
EMPTY 3 1
SET 0 0 1
SET 2 0 1
STORE Attack
SET 2 0 0
STORE Peace
EMPTY 11 9
SET 0 0 1
SET 0 2 1
SET 0 3 1
SET 0 4 1
SET 0 5 1
SET 0 6 1
SET 0 8 1
SET 1 0 1
SET 1 2 1
SET 1 3 1
SET 1 5 1
SET 1 6 1
SET 2 2 1
SET 2 3 1
SET 2 4 1
SET 2 6 1
SET 3 0 1
SET 3 1 1
SET 3 2 1
SET 3 3 1
SET 3 4 1
SET 3 5 1
SET 3 6 1
SET 4 1 1
SET 4 2 1
SET 4 5 1
SET 4 6 1
SET 4 7 1
SET 5 1 1
SET 5 3 1
SET 5 4 1
SET 5 7 1
SET 5 8 1
SET 6 1 1
SET 6 2 1
SET 6 3 1
SET 6 8 1
SET 7 0 1
SET 7 1 1
SET 7 3 1
SET 7 4 1
SET 7 5 1
SET 7 6 1
SET 8 0 1
SET 8 1 1
SET 8 2 1
SET 8 4 1
SET 8 8 1
SET 9 3 1
SET 9 6 1
SET 9 8 1
SET 10 2 1
SET 10 4 1
SET 10 5 1
SET 10 7 1
STORE Archery
SET 0 0 0
SET 0 3 0
SET 0 4 0
SET 0 5 0
SET 0 8 0
SET 1 0 0
SET 1 2 0
SET 1 3 0
SET 2 0 1
SET 2 1 1
SET 3 1 0
SET 3 2 0
SET 3 3 0
SET 3 5 0
SET 3 8 1
SET 4 0 1
SET 4 1 0
SET 4 4 1
SET 4 8 1
SET 5 0 1
SET 5 1 0
SET 5 4 0
SET 5 5 1
SET 5 8 0
SET 6 0 1
SET 6 4 1
SET 6 5 1
SET 6 8 0
SET 7 0 0
SET 7 2 1
SET 7 3 0
SET 7 4 0
SET 7 5 0
SET 7 6 0
SET 8 0 0
SET 8 1 0
SET 8 2 0
SET 8 5 1
SET 9 0 1
SET 9 2 1
SET 9 4 1
SET 9 5 1
SET 9 6 0
SET 9 7 1
SET 9 8 0
SET 10 2 0
SET 10 3 1
SET 10 6 1
SET 10 7 0
SET 10 8 1
STORE Diorite
READ /home/plank/cs140/Labs/Lab5/Test-Matrices/CM-07-08-4-4.txt
STORE Though
READ /home/plank/cs140/Labs/Lab5/Test-Matrices/CM-04-03-4-0.txt
STORE Eutectic
READ /home/plank/cs140/Labs/Lab5/Test-Matrices/CM-09-07-4-1.txt
STORE Odin
READ /home/plank/cs140/Labs/Lab5/Test-Matrices/CM-09-04-4-3.txt
STORE Archetype
SUM Carborundum Hydrophilic
STORE Drugging
PGM Flo.pgm 10 1
EMPTY 7 3
SET 0 0 1
SET 0 1 1
SET 1 1 1
SET 1 2 1
SET 2 0 1
SET 2 2 1
SET 3 0 1
SET 3 1 1
SET 4 0 1
SET 4 1 1
SET 4 2 1
SET 5 0 1
SET 5 1 1
SET 6 0 1
SET 6 2 1
STORE Impotent
SET 0 0 0
SET 0 2 1
SET 1 0 1
SET 2 0 0
SET 2 1 1
SET 2 2 0
SET 3 1 0
SET 5 0 0
SET 5 2 1
SET 6 0 0
SET 6 1 1
STORE Neuropsychiatric
EMPTY 11 22
SET 0 0 1
SET 0 1 1
SET 0 2 1
SET 0 3 1
SET 0 4 1
SET 0 7 1
SET 0 8 1
SET 0 9 1
SET 0 11 1
SET 0 12 1
SET 0 16 1
SET 0 18 1
SET 0 19 1
SET 0 20 1
SET 1 0 1
SET 1 3 1
SET 1 4 1
SET 1 5 1
SET 1 6 1
SET 1 7 1
SET 1 8 1
SET 1 10 1
SET 1 11 1
SET 1 13 1
SET 1 14 1
SET 1 19 1
SET 1 21 1
SET 2 1 1
SET 2 2 1
SET 2 3 1
SET 2 4 1
SET 2 5 1
SET 2 8 1
SET 2 10 1
SET 2 11 1
SET 2 12 1
SET 2 15 1
SET 2 16 1
SET 2 17 1
SET 2 18 1
SET 2 19 1
SET 2 20 1
SET 2 21 1
SET 3 1 1
SET 3 2 1
SET 3 3 1
SET 3 4 1
SET 3 5 1
SET 3 6 1
SET 3 8 1
SET 3 10 1
SET 3 11 1
SET 3 13 1
SET 3 17 1
SET 3 20 1
SET 3 21 1
SET 4 0 1
SET 4 13 1
SET 4 15 1
SET 4 17 1
SET 4 18 1
SET 4 19 1
SET 4 20 1
SET 5 0 1
SET 5 1 1
SET 5 2 1
SET 5 4 1
SET 5 8 1
SET 5 12 1
SET 5 14 1
SET 5 18 1
SET 5 20 1
SET 5 21 1
SET 6 0 1
SET 6 1 1
SET 6 4 1
SET 6 5 1
SET 6 6 1
SET 6 8 1
SET 6 10 1
SET 6 11 1
SET 6 17 1
SET 6 20 1
SET 6 21 1
SET 7 1 1
SET 7 2 1
SET 7 3 1
SET 7 4 1
SET 7 5 1
SET 7 7 1
SET 7 8 1
SET 7 10 1
SET 7 11 1
SET 7 12 1
SET 7 18 1
SET 7 19 1
SET 7 20 1
SET 7 21 1
SET 8 2 1
SET 8 3 1
SET 8 6 1
SET 8 7 1
SET 8 11 1
SET 8 14 1
SET 8 15 1
SET 8 18 1
SET 8 19 1
SET 8 20 1
SET 8 21 1
SET 9 2 1
SET 9 3 1
SET 9 6 1
SET 9 8 1
SET 9 9 1
SET 9 10 1
SET 9 11 1
SET 9 12 1
SET 9 13 1
SET 9 14 1
SET 9 21 1
SET 10 0 1
SET 10 1 1
SET 10 3 1
SET 10 4 1
SET 10 10 1
SET 10 12 1
SET 10 13 1
SET 10 17 1
SET 10 18 1
SET 10 20 1
SET 10 21 1
STORE Natural
SET 0 3 0
SET 0 5 1
SET 0 6 1
SET 0 7 0
SET 0 8 0
SET 0 11 0
SET 0 13 1
SET 0 14 1
SET 0 15 1
SET 0 19 0
SET 0 20 0
SET 1 0 0
SET 1 1 1
SET 1 6 0
SET 1 7 0
SET 1 8 0
SET 1 12 1
SET 1 13 0
SET 1 17 1
SET 2 2 0
SET 2 3 0
SET 2 5 0
SET 2 6 1
SET 2 8 0
SET 2 9 1
SET 2 11 0
SET 2 15 0
SET 2 18 0
SET 2 19 0
SET 2 20 0
SET 3 0 1
SET 3 2 0
SET 3 3 0
SET 3 6 0
SET 3 13 0
SET 3 16 1
SET 3 17 0
SET 3 18 1
SET 3 19 1
SET 4 0 0
SET 4 2 1
SET 4 4 1
SET 4 6 1
SET 4 7 1
SET 4 8 1
SET 4 9 1
SET 4 11 1
SET 4 18 0
SET 5 1 0
SET 5 2 0
SET 5 3 1
SET 5 4 0
SET 5 8 0
SET 5 9 1
SET 5 10 1
SET 5 11 1
SET 5 15 1
SET 5 16 1
SET 5 18 0
SET 6 0 0
SET 6 4 0
SET 6 5 0
SET 6 6 0
SET 6 9 1
SET 6 12 1
SET 6 13 1
SET 6 14 1
SET 6 17 0
SET 6 18 1
SET 6 20 0
SET 7 0 1
SET 7 1 0
SET 7 2 0
SET 7 3 0
SET 7 4 0
SET 7 6 1
