Mitchell Wade

Wrap:,true
K(states):,5
Radius:,1
Quiescence:,true
random seed:,6537889155151870262


Experiment #:,0
Rule:,0241133422133
Step,Entry Zeroed,Class,Lambda,Lambda_t,H,H_t,Zeta,Observations
6,6,,0.384,0.46153846153846156,1.3829112910096995,1.669180336866731,0.0,
7,11,,0.36,0.3846153846153846,1.3309028013932722,1.5465935642949384,0.0,
8,5,,0.21599999999999997,0.3076923076923077,1.002097519284775,1.352030101757953,0.0,
9,10,,0.16800000000000004,0.23076923076923073,0.8595099439867205,1.1451104143815827,0.0,
10,12,,0.16000000000000003,0.15384615384615385,0.7943095546405663,0.7732283485249176,0.0,
11,9,,0.07999999999999996,0.07692307692307687,0.4021791902022729,0.39124356362925566,0.0,
12,3,,0.0,0.0,-0.0,-0.0,0.0,


Experiment #:,4
Rule:,0244331324331
Step,Entry Zeroed,Class,Lambda,Lambda_t,H,H_t,Zeta,Observations
0,-,,0.992,0.9230769230769231,1.86080764200698,2.133937566094917,0.0,
1,12,,0.984,0.8461538461538461,1.890631155145533,2.133937566094917,0.0,
2,4,,0.864,0.7692307692307692,2.2089765799488927,2.199687794731328,0.0,
3,8,,0.744,0.6923076923076923,2.047301626549324,2.103909910282364,0.0,
4,9,,0.6639999999999999,0.6153846153846154,1.981174433869008,2.0381596816459533,0.0,
5,3,,0.5840000000000001,0.5384615384615384,1.8095319651413615,1.8919954870390203,0.0,
6,1,,0.56,0.46153846153846156,1.6751557139545137,1.573402452417767,0.0,
7,11,,0.536,0.3846153846153846,1.6660992667911898,1.4885252948977485,0.0,
8,7,,0.392,0.3076923076923077,1.5169683742718847,1.352030101757953,0.0,
9,5,,0.248,0.23076923076923073,1.1428920860878478,1.1451104143815827,0.0,
10,2,,0.19999999999999996,0.15384615384615385,0.8809361507642667,0.7732283485249176,0.0,
11,10,,0.15200000000000002,0.07692307692307687,0.6148227571490692,0.39124356362925566,0.0,
12,6,,0.0,0.0,-0.0,-0.0,0.0,


Experiment #:,5
Rule:,0422434421132
Step,Entry Zeroed,Class,Lambda,Lambda_t,H,H_t,Zeta,Observations
0,-,,0.992,0.9230769230769231,1.8920766836844054,2.1619781796795534,0.0,
1,5,,0.848,0.8461538461538461,1.9462619286505043,2.161978179679554,0.0,
2,9,,0.768,0.7692307692307692,1.8528171197897167,2.103909910282364,0.0,
3,6,,0.616,0.6923076923076923,1.890102983917854,2.103909910282364,0.0,
4,8,,0.496,0.6153846153846154,1.7462845563407736,2.075869296697727,0.0,
5,4,,0.376,0.5384615384615384,1.587771726603243,1.9877733714879842,0.0,
6,2,,0.32799999999999996,0.46153846153846156,1.4656903670359231,1.8810947601100747,0.0,
7,3,,0.248,0.3846153846153846,1.136706841121749,1.7004397181410922,0.0,
8,10,,0.19999999999999996,0.3076923076923077,0.8747509057981678,1.352030101757953,0.0,
9,12,,0.19199999999999995,0.23076923076923073,0.8100009795544975,0.9912642605354289,0.0,
10,11,,0.16800000000000004,0.15384615384615385,0.6531091121418667,0.6193821946787638,0.0,
11,1,,0.14400000000000002,0.07692307692307687,0.5946193440950123,0.39124356362925566,0.0,
12,7,,0.0,0.0,-0.0,-0.0,0.0,


Experiment #:,6
Rule:,0211222142233
Step,Entry Zeroed,Class,Lambda,Lambda_t,H,H_t,Zeta,Observations
0,-,,0.992,0.9230769230769231,1.5561111564903132,1.9877733714879842,0.0,
1,8,,0.872,0.8461538461538461,1.5129380279633355,1.8339272176418302,0.0,
2,2,,0.8240000000000001,0.7692307692307692,1.5470204533623602,1.8339272176418302,0.0,
3,1,,0.8,0.6923076923076923,1.584585758526054,1.8843135277997989,0.0,
4,10,,0.752,0.6153846153846154,1.6430147271933486,1.8843135277997989,0.0,
5,12,,0.744,0.5384615384615384,1.617616312151986,1.7381493331928661,0.0,
6,11,,0.72,0.46153846153846156,1.4994561674247031,1.4195562985716133,0.0,
7,4,,0.6,0.3846153846153846,1.542868897980502,1.3346791410515948,0.0,
8,6,,0.44799999999999995,0.3076923076923077,1.4401837794387313,1.198183947911799,0.0,
9,5,,0.30400000000000005,0.23076923076923073,1.13889386141948,0.9912642605354289,0.0,
10,7,,0.16000000000000003,0.15384615384615385,0.7943095546405663,0.7732283485249176,0.0,
11,9,,0.07999999999999996,0.07692307692307687,0.4021791902022729,0.39124356362925566,0.0,
12,3,,0.0,0.0,-0.0,-0.0,0.0,


Experiment #:,7
Rule:,0311244222212
Step,Entry Zeroed,Class,Lambda,Lambda_t,H,H_t,Zeta,Observations
0,-,,0.992,0.9230769230769231,1.6084307436003886,1.9877733714879842,0.0,
1,10,,0.944,0.8461538461538461,1.8062426114411703,2.133937566094917,0.0,
2,2,,0.896,0.7692307692307692,1.839448007746474,2.133937566094917,0.0,
3,9,,0.8160000000000001,0.6923076923076923,1.9675995989242847,2.161978179679554,0.0,
4,6,,0.6639999999999999,0.6153846153846154,1.9296453408035874,2.038159681645953,0.0,
5,11,,0.64,0.5384615384615384,1.8834883632742527,1.8919954870390203,0.0,
6,7,,0.496,0.46153846153846156,1.8203319704261942,1.823026490712885,0.0,
7,8,,0.376,0.3846153846153846,1.6274307522760543,1.7004397181410922,0.0,
8,1,,0.352,0.3076923076923077,1.4793380349941683,1.352030101757953,0.0,
9,12,,0.344,0.23076923076923073,1.46017985036092,1.1451104143815827,0.0,
10,5,,0.19999999999999996,0.15384615384615385,0.916118213778296,0.7732283485249176,0.0,
11,3,,0.12,0.07692307692307687,0.5293608652873644,0.39124356362925566,0.0,
12,4,,0.0,0.0,-0.0,-0.0,0.0,


Experiment #:,8
Rule:,0122224441423
Step,Entry Zeroed,Class,Lambda,Lambda_t,H,H_t,Zeta,Observations
0,-,,0.992,0.9230769230769231,1.4914524494895258,2.038159681645953,0.0,
1,1,,0.968,0.8461538461538461,1.5465439325852106,2.038159681645953,0.0,
2,8,,0.848,0.7692307692307692,1.8163270566634568,2.075869296697727,0.0,
3,9,,0.768,0.6923076923076923,1.6007146954282745,1.8262452584026092,0.0,
4,2,,0.72,0.6153846153846154,1.630279164470994,1.8262452584026092,0.0,
5,10,,0.6719999999999999,0.5384615384615384,1.6338382310922062,1.7381493331928664,0.0,
6,4,,0.552,0.46153846153846156,1.5934503983781663,1.669180336866731,0.0,
7,12,,0.544,0.3846153846153846,1.5353475570008506,1.3346791410515946,0.0,
8,7,,0.4,0.3076923076923077,1.3541674033451883,1.1401156785146092,0.0,
9,3,,0.31999999999999995,0.23076923076923073,1.223804139018193,0.9912642605354289,0.0,
10,6,,0.16800000000000004,0.15384615384615385,0.6531091121418667,0.6193821946787638,0.0,
11,11,,0.14400000000000002,0.07692307692307687,0.5946193440950123,0.39124356362925566,0.0,
12,5,,0.0,0.0,-0.0,-0.0,0.0,


Experiment #:,9
Rule:,0213241442121
Step,Entry Zeroed,Class,Lambda,Lambda_t,H,H_t,Zeta,Observations
0,-,,0.992,0.9230769230769231,1.8770398125707828,2.103909910282364,0.0,
1,9,,0.912,0.8461538461538461,2.0633411880798143,2.199687794731328,0.0,
2,12,,0.904,0.7692307692307692,2.07497408547472,2.237397409783102,0.0,
3,10,,0.856,0.6923076923076923,2.118530732357258,2.199687794731328,0.0,
4,6,,0.704,0.6153846153846154,1.9816947742591116,2.075869296697727,0.0,
5,4,,0.5840000000000001,0.5384615384615384,1.7661411747308027,1.9877733714879842,0.0,
6,11,,0.56,0.46153846153846156,1.6797649235439545,1.8230264907128848,0.0,
7,5,,0.41600000000000004,0.3846153846153846,1.5913351471226131,1.7004397181410922,0.0,
8,3,,0.33599999999999997,0.3076923076923077,1.2389207546851742,1.352030101757953,0.0,
9,1,,0.31200000000000006,0.23076923076923073,1.0887158858817965,0.9912642605354289,0.0,
10,8,,0.19199999999999995,0.15384615384615385,0.8614020063563284,0.7732283485249176,0.0,
11,2,,0.14400000000000002,0.07692307692307687,0.5946193440950123,0.39124356362925566,0.0,
12,7,,0.0,0.0,-0.0,-0.0,0.0,


Experiment #:,10
Rule:,0232413123212
Step,Entry Zeroed,Class,Lambda,Lambda_t,H,H_t,Zeta,Observations
0,-,,0.992,0.9230769230769231,1.9755134314148624,2.075869296697727,0.0,
1,7,,0.848,0.8461538461538461,2.2409646146296267,2.133937566094917,0.0,
2,9,,0.768,0.7692307692307692,2.2670260125931008,2.133937566094917,0.0,
3,2,,0.72,0.6923076923076923,2.2409646146296267,2.038159681645953,0.0,
4,11,,0.696,0.6153846153846154,2.219234022106506,1.914341183612352,0.0,
5,1,,0.6719999999999999,0.5384615384615384,2.2135261734232152,1.8919954870390203,0.0,
6,10,,0.624,0.46153846153846156,2.1845863613338077,1.823026490712885,0.0,
7,3,,0.544,0.3846153846153846,2.0790053844788243,1.7004397181410922,0.0,
8,6,,0.392,0.3076923076923077,1.5857482848076718,1.352030101757953,0.0,
9,8,,0.272,0.23076923076923073,1.1588137149167208,1.1451104143815827,0.0,
10,4,,0.15200000000000002,0.15384615384615385,0.6600385389848012,0.7732283485249176,0.0,
11,5,,0.008000000000000007,0.07692307692307687,0.06722154475830686,0.39124356362925566,0.0,
12,12,,0.0,0.0,-0.0,-0.0,0.0,


Experiment #:,11
Rule:,0443211143232
Step,Entry Zeroed,Class,Lambda,Lambda_t,H,H_t,Zeta,Observations
0,-,,0.992,0.9230769230769231,1.9244778457781202,2.237397409783102,0.0,
1,6,,0.84,0.8461538461538461,2.2878292241316065,2.295465679180292,0.0,
2,9,,0.76,0.7692307692307692,2.2491736455953566,2.2954656791802917,0.0,
3,8,,0.64,0.6923076923076923,2.1018384738973337,2.2577560641285177,0.0,
4,1,,0.616,0.6153846153846154,2.0384363883683236,2.133937566094917,0.0,
5,12,,0.608,0.5384615384615384,2.0290463676054187,2.0458416408851736,0.0,
6,11,,0.5840000000000001,0.46153846153846156,1.9777211868475708,1.8810947601100747,0.0,
7,2,,0.536,0.3846153846153846,1.7550791278896871,1.5465935642949384,0.0,
8,3,,0.45599999999999996,0.3076923076923077,1.4273567715796847,1.198183947911799,0.0,
9,10,,0.40800000000000003,0.23076923076923073,1.3320226203213408,0.9912642605354289,0.0,
10,4,,0.28800000000000003,0.15384615384615385,0.8661236813986259,0.6193821946787638,0.0,
11,5,,0.14400000000000002,0.07692307692307687,0.5946193440950123,0.39124356362925566,0.0,
12,7,,0.0,0.0,-0.0,-0.0,0.0,


Experiment #:,12
Rule:,0233223341311
Step,Entry Zeroed,Class,Lambda,Lambda_t,H,H_t,Zeta,Observations
0,-,,0.992,0.9230769230769231,1.8049877422044385,2.0758692966977272,0.0,
1,2,,0.944,0.8461538461538461,1.995745113133205,2.199687794731328,0.0,
2,12,,0.9359999999999999,0.7692307692307692,2.0025350093522087,2.199687794731328,0.0,
3,6,,0.784,0.6923076923076923,2.212327688799604,2.199687794731328,0.0,
4,8,,0.6639999999999999,0.6153846153846154,1.8963916066862718,1.9220231428515733,0.0,
5,7,,0.52,0.5384615384615384,1.7446926676679388,1.8339272176418302,0.0,
6,1,,0.496,0.46153846153846156,1.7246694250208239,1.7272486062639207,0.0,
7,4,,0.376,0.3846153846153846,1.5463783691976776,1.5465935642949382,0.0,
8,11,,0.352,0.3076923076923077,1.4793380349941683,1.352030101757953,0.0,
9,5,,0.20799999999999996,0.23076923076923073,0.9375795939680472,0.9912642605354289,0.0,
10,9,,0.128,0.15384615384615385,0.5519275534566073,0.6193821946787638,0.0,
11,10,,0.07999999999999996,0.07692307692307687,0.4021791902022729,0.39124356362925566,0.0,
12,3,,0.0,0.0,-0.0,-0.0,0.0,


Experiment #:,13
Rule:,0422223411331
Step,Entry Zeroed,Class,Lambda,Lambda_t,H,H_t,Zeta,Observations
0,-,,0.992,0.9230769230769231,1.9723697348278435,2.199687794731328,0.0,
1,2,,0.944,0.8461538461538461,2.1494890424682573,2.295465679180292,0.0,
2,7,,0.8,0.7692307692307692,2.077799907158062,2.237397409783102,0.0,
3,6,,0.648,0.6923076923076923,1.9334641177897354,2.199687794731328,0.0,
4,8,,0.528,0.6153846153846154,1.7518380071845399,2.133937566094917,0.0,
5,11,,0.504,0.5384615384615384,1.67932055660067,1.9877733714879842,0.0,
6,4,,0.384,0.46153846153846156,1.5620489905611192,1.8810947601100747,0.0,
7,1,,0.36,0.3846153846153846,1.4143946189185743,1.5465935642949384,0.0,
8,10,,0.31200000000000006,0.3076923076923077,1.1632366484460583,1.198183947911799,0.0,
9,3,,0.23199999999999998,0.23076923076923073,1.0036339014604638,0.9912642605354289,0.0,
10,9,,0.15200000000000002,0.15384615384615385,0.6600385389848011,0.7732283485249176,0.0,
11,12,,0.14400000000000002,0.07692307692307687,0.5946193440950123,0.39124356362925566,0.0,
12,5,,0.0,0.0,-0.0,-0.0,0.0,


Experiment #:,14
Rule:,0343112111434
Step,Entry Zeroed,Class,Lambda,Lambda_t,H,H_t,Zeta,Observations
0,-,,0.992,0.9230769230769231,1.6245136437582883,2.0758692966977272,0.0,
1,12,,0.984,0.8461538461538461,1.649202974375731,2.133937566094917,0.0,
2,3,,0.904,0.7692307692307692,1.7089683742718846,2.1339375660949167,0.0,
3,11,,0.88,0.6923076923076923,1.6703370028854008,2.038159681645953,0.0,
4,10,,0.832,0.6153846153846154,1.6213327473662071,1.914341183612352,0.0,
5,7,,0.688,0.5384615384615384,1.790833328542524,1.8919954870390203,0.0,
6,9,,0.608,0.46153846153846156,1.8123901433966534,1.823026490712885,0.0,
7,2,,0.56,0.3846153846153846,1.5936363283735802,1.4885252948977485,0.0,
8,4,,0.43999999999999995,0.3076923076923077,1.5179416656015412,1.352030101757953,0.0,
9,6,,0.28800000000000003,0.23076923076923073,0.9853029342860724,0.9912642605354289,0.0,
10,8,,0.16800000000000004,0.15384615384615385,0.7525101389436977,0.7732283485249176,0.0,
11,1,,0.14400000000000002,0.07692307692307687,0.5946193440950123,0.39124356362925566,0.0,
12,5,,0.0,0.0,-0.0,-0.0,0.0,


Experiment #:,15
Rule:,0342112444131
Step,Entry Zeroed,Class,Lambda,Lambda_t,H,H_t,Zeta,Observations
0,-,,0.992,0.9230769230769231,1.8106712445007576,2.161978179679554,0.0,
1,5,,0.848,0.8461538461538461,2.083143287941124,2.2577560641285177,0.0,
2,3,,0.768,0.7692307692307692,2.083143287941124,2.199687794731328,0.0,
3,7,,0.624,0.6923076923076923,2.093995044497145,2.199687794731328,0.0,
4,8,,0.504,0.6153846153846154,1.945879767751992,2.1339375660949167,0.0,
5,9,,0.42400000000000004,0.5384615384615384,1.733206136838495,1.9877733714879842,0.0,
6,4,,0.30400000000000005,0.46153846153846156,1.4304423538034905,1.8810947601100747,0.0,
7,1,,0.28,0.3846153846153846,1.3266358975741472,1.7004397181410922,0.0,
8,2,,0.23199999999999998,0.3076923076923077,1.0675971264122803,1.352030101757953,0.0,
9,10,,0.18400000000000005,0.23076923076923073,0.8373611235526139,1.1451104143815827,0.0,
10,6,,0.03200000000000003,0.15384615384615385,0.23028557096297186,0.7732283485249176,0.0,
11,12,,0.02400000000000002,0.07692307692307687,0.16334554318340233,0.39124356362925566,0.0,
12,11,,0.0,0.0,-0.0,-0.0,0.0,


Experiment #:,16
Rule:,0142421443234
Step,Entry Zeroed,Class,Lambda,Lambda_t,H,H_t,Zeta,Observations
0,-,,0.992,0.9230769230769231,1.8684904223243066,2.1339375660949167,0.0,
1,10,,0.944,0.8461538461538461,2.0182209369682695,2.1920058354921066,0.0,
2,4,,0.8240000000000001,0.7692307692307692,2.2313541313102254,2.2577560641285177,0.0,
3,5,,0.6799999999999999,0.6923076923076923,2.1242903607763486,2.161978179679554,0.0,
4,7,,0.536,0.6153846153846154,2.0273611948849024,2.133937566094917,0.0,
5,1,,0.512,0.5384615384615384,1.9904395387301468,1.9877733714879842,0.0,
6,11,,0.488,0.46153846153846156,1.9317308425565196,1.8230264907128848,0.0,
7,9,,0.40800000000000003,0.3846153846153846,1.5934886976951703,1.4885252948977485,0.0,
8,8,,0.28800000000000003,0.3076923076923077,1.2864109765443719,1.352030101757953,0.0,
9,2,,0.24,0.23076923076923073,1.0612547926961526,1.1451104143815827,0.0,
10,6,,0.08799999999999997,0.15384615384615385,0.4684343441528537,0.7732283485249176,0.0,
11,12,,0.07999999999999996,0.07692307692307687,0.4021791902022729,0.39124356362925566,0.0,
12,3,,0.0,0.0,-0.0,-0.0,0.0,


Experiment #:,17
Rule:,0341412434312
Step,Entry Zeroed,Class,Lambda,Lambda_t,H,H_t,Zeta,Observations
0,-,,0.992,0.9230769230769231,1.9643560454725404,2.199687794731328,0.0,
1,9,,0.912,0.8461538461538461,2.2118468296405984,2.2954656791802917,0.0,
2,12,,0.904,0.7692307692307692,2.2179439251500024,2.237397409783102,0.0,
3,8,,0.784,0.6923076923076923,2.18712282478654,2.199687794731328,0.0,
4,7,,0.64,0.6153846153846154,2.1482475758333557,2.1339375660949167,0.0,
5,1,,0.616,0.5384615384615384,2.084845490304346,1.9877733714879842,0.0,
6,4,,0.496,0.46153846153846156,1.8307531361295282,1.823026490712885,0.0,
7,3,,0.41600000000000004,0.3846153846153846,1.7191760331366694,1.7004397181410922,0.0,
8,11,,0.392,0.3076923076923077,1.6727337741680381,1.505876255604107,0.0,
9,5,,0.248,0.23076923076923073,1.1428920860878478,1.1451104143815827,0.0,
10,10,,0.19999999999999996,0.15384615384615385,0.8809361507642667,0.7732283485249176,0.0,
11,6,,0.04800000000000004,0.07692307692307687,0.2778395739583094,0.39124356362925566,0.0,
12,2,,0.0,0.0,-0.0,-0.0,0.0,


Experiment #:,18
Rule:,0414411114122
Step,Entry Zeroed,Class,Lambda,Lambda_t,H,H_t,Zeta,Observations
0,-,,0.992,0.9230769230769231,1.1358602055457743,1.7381493331928661,0.0,
1,9,,0.912,0.8461538461538461,1.3499526846516388,1.8339272176418302,0.0,
2,4,,0.792,0.7692307692307692,1.3686929775726036,1.8339272176418302,0.0,
3,10,,0.744,0.6923076923076923,1.4381986258017134,1.8843135277997989,0.0,
4,5,,0.6,0.6153846153846154,1.54129289632633,1.8843135277997989,0.0,
5,7,,0.45599999999999996,0.5384615384615384,1.502341777971273,1.8339272176418302,0.0,
6,6,,0.30400000000000005,0.46153846153846156,1.294740553837867,1.7272486062639207,0.0,
7,2,,0.256,0.3846153846153846,1.1829775270380158,1.5465935642949382,0.0,
8,3,,0.17600000000000005,0.3076923076923077,0.8852418787727852,1.352030101757953,0.0,
9,1,,0.15200000000000002,0.23076923076923073,0.7276808677194719,0.9912642605354289,0.0,
10,8,,0.03200000000000003,0.15384615384615385,0.2043246709802796,0.6193821946787638,0.0,
11,11,,0.008000000000000007,0.07692307692307687,0.06722154475830686,0.39124356362925566,0.0,
12,12,,0.0,0.0,-0.0,-0.0,0.0,


Experiment #:,19
Rule:,0213323213221
Step,Entry Zeroed,Class,Lambda,Lambda_t,H,H_t,Zeta,Observations
0,-,,0.992,0.9230769230769231,1.5501873185703805,1.8262452584026092,0.0,
1,6,,0.84,0.8461538461538461,1.9085909795784302,1.9220231428515733,0.0,
2,7,,0.696,0.7692307692307692,1.9717013680044377,1.9877733714879844,0.0,
3,10,,0.648,0.6923076923076923,1.9426923451385416,1.9877733714879842,0.0,
4,4,,0.528,0.6153846153846154,1.8324955051626939,1.922023142851573,0.0,
5,12,,0.52,0.5384615384615384,1.8207461764227266,1.8339272176418302,0.0,
6,11,,0.496,0.46153846153846156,1.7859080539824879,1.7272486062639207,0.0,
7,8,,0.376,0.3846153846153846,1.490197277848619,1.5465935642949382,0.0,
8,2,,0.32799999999999996,0.3076923076923077,1.2407291543459504,1.198183947911799,0.0,
9,9,,0.248,0.23076923076923073,1.0330698935826832,0.9912642605354289,0.0,
10,3,,0.16800000000000004,0.15384615384615385,0.6531091121418667,0.6193821946787638,0.0,
11,1,,0.14400000000000002,0.07692307692307687,0.5946193440950123,0.39124356362925566,0.0,
12,5,,0.0,0.0,-0.0,-0.0,0.0,


Experiment #:,20
Rule:,0331313343212
Step,Entry Zeroed,Class,Lambda,Lambda_t,H,H_t,Zeta,Observations
0,-,,0.992,0.9230769230769231,1.6180484886992343,1.9877733714879842,0.0,
1,6,,0.84,0.8461538461538461,2.0482134346492216,2.1339375660949167,0.0,
2,12,,0.832,0.7692307692307692,2.0349462784049783,2.0758692966977272,0.0,
3,3,,0.752,0.6923076923076923,2.0349462784049783,2.038159681645953,0.0,
4,2,,0.704,0.6153846153846154,2.060300890072468,2.038159681645953,0.0,
5,5,,0.56,0.5384615384615384,1.7583710393573107,1.8919954870390203,0.0,
6,1,,0.536,0.46153846153846156,1.7501018557804264,1.8230264907128848,0.0,
7,7,,0.392,0.3846153846153846,1.6073289470084968,1.7004397181410922,0.0,
8,4,,0.272,0.3076923076923077,1.3314113674815018,1.505876255604107,0.0,
9,11,,0.248,0.23076923076923073,1.1780741491018771,1.1451104143815827,0.0,
10,10,,0.19999999999999996,0.15384615384615385,0.916118213778296,0.7732283485249176,0.0,
11,8,,0.07999999999999996,0.07692307692307687,0.4021791902022729,0.39124356362925566,0.0,
12,9,,0.0,0.0,-0.0,-0.0,0.0,


Experiment #:,21
Rule:,0243441133223
Step,Entry Zeroed,Class,Lambda,Lambda_t,H,H_t,Zeta,Observations
0,-,,0.992,0.9230769230769231,1.9416457956662794,2.199687794731328,0.0,
1,6,,0.84,0.8461538461538461,2.1916662965027776,2.199687794731328,0.0,
2,10,,0.792,0.7692307692307692,2.1255615303460242,2.199687794731328,0.0,
3,7,,0.648,0.6923076923076923,1.7820022621667357,1.95006375643621,0.0,
4,9,,0.5680000000000001,0.6153846153846154,1.7288577300344845,1.9220231428515733,0.0,
5,5,,0.42400000000000004,0.5384615384615384,1.5722284953965209,1.8339272176418302,0.0,
6,3,,0.344,0.46153846153846156,1.421242642571177,1.7272486062639207,0.0,
7,11,,0.31999999999999995,0.3846153846153846,1.3194500210443105,1.5465935642949382,0.0,
8,1,,0.29600000000000004,0.3076923076923077,1.1684350981145981,1.198183947911799,0.0,
9,4,,0.17600000000000005,0.23076923076923073,0.8200296502284997,0.9912642605354289,0.0,
10,12,,0.16800000000000004,0.15384615384615385,0.7981133676610607,0.7732283485249176,0.0,
11,8,,0.04800000000000004,0.07692307692307687,0.2778395739583094,0.39124356362925566,0.0,
12,2,,0.0,0.0,-0.0,-0.0,0.0,


Experiment #:,22
Rule:,0434312341441
Step,Entry Zeroed,Class,Lambda,Lambda_t,H,H_t,Zeta,Observations
0,-,,0.992,0.9230769230769231,2.002004023237875,2.0758692966977272,0.0,
1,8,,0.872,0.8461538461538461,2.24714225458388,2.199687794731328,0.0,
2,12,,0.864,0.7692307692307692,2.253451396502527,2.199687794731328,0.0,
3,4,,0.744,0.6923076923076923,2.2980790350591325,2.161978179679554,0.0,
4,5,,0.6,0.6153846153846154,2.1316298140991568,2.038159681645953,0.0,
5,6,,0.44799999999999995,0.5384615384615384,1.6629517719109224,1.7381493331928661,0.0,
6,10,,0.4,0.46153846153846156,1.5704260226351079,1.669180336866731,0.0,
7,11,,0.376,0.3846153846153846,1.5127805216759196,1.5465935642949382,0.0,
8,3,,0.29600000000000004,0.3076923076923077,1.2342382773946712,1.352030101757953,0.0,
9,2,,0.248,0.23076923076923073,1.132470920384514,1.1451104143815827,0.0,
10,1,,0.22399999999999998,0.15384615384615385,0.978028471326194,0.7732283485249176,0.0,
11,7,,0.07999999999999996,0.07692307692307687,0.4021791902022729,0.39124356362925566,0.0,
12,9,,0.0,0.0,-0.0,-0.0,0.0,


Experiment #:,23
Rule:,0233444224223
